sec,EEG,alpha,beta,delta,theta
1.6,-1.78833,-0.580722,0.187943,-3.23484,0.506026
1.605,-2.03857,-0.343658,-0.119913,-3.51169,0.60602
1.61,-2.24609,-0.0794692,-0.335674,-3.81265,0.693489
1.615,-2.85034,0.191935,-0.351615,-4.13623,0.765503
1.62,-3.19824,0.449725,-0.188526,-4.48079,0.819523
1.625,-3.02124,0.673421,0.0253555,-4.84459,0.853477
1.63,-2.69165,0.844429,0.147651,-5.22575,0.865805
1.635,-2.86255,0.947628,0.121633,-5.62232,0.855564
1.64,-3.6499,0.972807,0.00913956,-6.03222,0.82249
1.645,-5.11475,0.915685,-0.0662685,-6.45333,0.767052
1.65,-6.23169,0.778953,-0.0229785,-6.88345,0.69033
1.655,-6.31714,0.5725,0.110308,-7.32034,0.59405
1.66,-6.9519,0.313079,0.217389,-7.76169,0.480536
1.665,-7.94067,0.0231731,0.19083,-8.20521,0.352629
1.67,-9.25903,-0.271074,0.0262316,-8.64858,0.213659
1.675,-10.9192,-0.542179,-0.162892,-9.08949,0.06732
1.68,-12.2437,-0.763899,-0.22833,-9.52564,-0.0825197
1.685,-12.793,-0.914238,-0.107445,-9.95476,-0.231833
1.69,-12.8784,-0.977802,0.116727,-10.3746,-0.376661
1.695,-13.0249,-0.947536,0.266961,-10.7831,-0.513191
1.7,-13.9709,-0.826045,0.204311,-11.178,-0.637843
1.705,-15.0513,-0.625609,-0.0570101,-11.5573,-0.747349
1.71,-15.3809,-0.367014,-0.345524,-11.9192,-0.838876
1.715,-15.155,-0.0773698,-0.449223,-12.2617,-0.910204
1.72,-15.0391,0.213023,-0.26797,-12.5833,-0.959724
1.725,-14.8132,0.474013,0.11036,-12.8821,-0.986278
1.73,-14.502,0.678925,0.465724,-13.1569,-0.989342
1.735,-14.0991,0.807513,0.59124,-13.4062,-0.969033
1.74,-14.3066,0.84822,0.425213,-13.6288,-0.926058
1.745,-15.0391,0.799519,0.0771105,-13.8237,-0.861657
1.75,-15.3625,0.670067,-0.261015,-13.9899,-0.777653
1.755,-15.564,0.47747,-0.442344,-14.1267,-0.676332
1.76,-15.6799,0.245936,-0.439347,-14.2336,-0.560364
1.765,-15.5457,0.00306466,-0.319464,-14.3099,-0.432687
1.77,-15.4907,-0.223372,-0.161653,-14.3555,-0.296401
1.775,-15.2283,-0.408734,0.00789556,-14.3702,-0.154756
1.78,-14.8499,-0.534346,0.205168,-14.354,-0.0110842
1.785,-14.856,-0.589565,0.423803,-14.3071,0.131323
1.79,-14.3188,-0.572851,0.585283,-14.2299,0.26932
1.795,-13.3728,-0.49135,0.562957,-14.1226,0.399882
1.8,-12.8784,-0.359708,0.274642,-13.9861,0.520269
1.805,-13.1958,-0.197858,-0.225,-13.8208,0.628112
1.81,-13.5193,-0.0282514,-0.733524,-13.6278,0.721446
1.815,-13.3606,0.127121,-0.992937,-13.4081,0.798697
1.82,-12.2681,0.249588,-0.836156,-13.1626,0.858598
1.825,-11.0291,0.325919,-0.294578,-12.8926,0.900285
1.83,-9.80225,0.349805,0.405373,-12.5994,0.923317
1.835,-8.8501,0.322395,0.955424,-12.2843,0.927655
1.84,-8.8501,0.251639,1.12126,-11.9489,0.913567
1.845,-9.10645,0.150694,0.849853,-11.5946,0.881679
1.85,-9.22852,0.0359283,0.276967,-11.223,0.832908
1.855,-8.99658,-0.0753156,-0.355351,-10.8358,0.76842
