sec,EEG,ID
6.20E+01,-6.9458,1
62.005,-6.14624,1
62.01,-7.88574,1
62.015,-10.2661,1
62.02,-12.0239,1
62.025,-11.8347,1
62.03,-8.76465,1
62.035,-6.4209,1
62.04,-5.60913,1
62.045,-5.46265,1
62.05,-6.89087,1
62.055,-6.92139,1
62.06,-6.98242,1
62.065,-7.89795,1
62.07,-9.48486,1
62.075,-12.9395,1
62.08,-14.1052,1
62.085,-11.9629,1
62.09,-8.8562,1
62.095,-7.41577,1
62.1,-7.18384,1
62.105,-8.8501,1
62.11,-8.89282,1
62.115,-7.04956,1
62.12,-5.07202,1
62.125,-6.57959,1
62.13,-9.41772,1
62.135,-10.3149,1
62.14,-7.25708,1
62.145,-5.26123,1
62.15,-5.0354,1
62.155,-8.6792,1
62.16,-12.0605,1
62.165,-10.3088,1
62.17,-7.62939,1
62.175,-4.54712,1
62.18,0.65918,1
62.185,-1.52588,1
62.19,-6.97021,1
62.195,-8.12988,1
62.2,-8.30688,1
62.205,-6.32935,1
62.21,-1.26953,1
62.215,-2.14844,1
62.22,-4.05884,1
62.225,-4.50439,1
62.23,-5.05371,1
62.235,-5.2063,1
62.24,-6.57349,1
62.245,-6.82373,1
62.25,-6.03638,1
62.255,-4.26025,1
62.26,-3.03955,1
62.265,-0.537109,1
62.27,1.94092,1
62.275,1.82495,1
62.28,-0.0854492,1
62.285,-2.72217,1
62.29,-3.97949,1
62.295,-5.7373,1
62.3,-7.15332,1
62.305,-8.09937,1
62.31,-7.84302,1
62.315,-6.02417,1
62.32,-3.28369,1
62.325,-1.64795,1
62.33,-2.78931,1
62.335,-3.52783,1
62.34,-2.21558,1
62.345,-1.2146,1
62.35,-0.280762,1
62.355,0.360107,1
62.36,-0.00610352,1
62.365,-0.0671387,1
62.37,-0.250244,1
62.375,0.256348,1
62.38,-0.579834,1
62.385,-1.01318,1
62.39,0.354004,1
62.395,1.31226,1
62.4,3.00293,1
62.405,5.10254,1
62.41,5.79834,1
62.415,7.17773,1
62.42,11.2,1
62.425,16.3391,1
62.43,21.3867,1
62.435,25.2441,1
62.44,30.6152,1
62.445,37.0422,1
62.45,37.5916,1
62.455,38.8062,1
62.46,44.2993,1
62.465,47.345,1
62.47,50.1343,1
62.475,52.2095,1
62.48,47.6685,1
62.485,43.4998,1
62.49,42.2058,1
62.495,43.1824,1
62.5,41.7542,1
62.505,35.6628,1
62.51,30.835,1
62.515,28.3325,1
62.52,27.4475,1
62.525,25.531,1
62.53,22.2107,1
62.535,16.6016,1
62.54,10.7239,1
62.545,5.65796,1
62.55,2.41699,1
62.555,0.476074,1
62.56,-1.72119,1
62.565,-1.01318,1
62.57,-0.769043,1
62.575,-2.88086,1
62.58,-4.50439,1
62.585,-5.31006,1
62.59,-5.81055,1
62.595,-7.76978,1
62.6,-12.4634,1
62.605,-14.2517,1
62.61,-12.4573,1
62.615,-10.0281,1
62.62,-10.1257,1
62.625,-12.0422,1
62.63,-12.4878,1
62.635,-10.3882,1
62.64,-7.67822,1
62.645,-6.9458,1
62.65,-8.23975,1
62.655,-9.00269,1
62.66,-8.02612,1
62.665,-8.47778,1
62.67,-11.3708,1
62.675,-12.9944,1
62.68,-10.2051,1
62.685,-5.00488,1
62.69,0.20752,1
62.695,0.927734,1
62.7,-0.90332,1
62.705,-2.58179,1
62.71,-3.41187,1
62.715,-3.74146,1
62.72,-2.11182,1
62.725,1.10474,1
62.73,3.42407,1
62.735,1.9165,1
62.74,0.201416,1
62.745,-0.415039,1
62.75,0.683594,1
62.755,3.09448,1
62.76,0.299072,1
62.765,-4.42505,1
62.77,-5.17578,1
62.775,-3.19824,1
62.78,-0.769043,1
62.785,0,1
62.79,-1.55029,1
62.795,-1.72729,1
62.8,-1.49536,1
62.805,-0.994873,1
62.81,-0.585938,1
62.815,-0.549316,1
62.82,-0.604248,1
62.825,-0.88501,1
62.83,-1.81885,1
62.835,-2.55127,1
62.84,-1.40991,1
62.845,0.274658,1
62.85,0.878906,1
62.855,2.4231,1
62.86,4.99878,1
62.865,6.86646,1
62.87,6.32935,1
62.875,3.27759,1
62.88,0.836182,1
62.885,1.55029,1
62.89,4.38232,1
62.895,6.7627,1
62.9,6.32324,1
62.905,6.30493,1
62.91,7.8064,1
62.915,9.21021,1
62.92,9.69238,1
62.925,11.377,1
62.93,12.0667,1
62.935,12.0728,1
62.94,13.0188,1
62.945,12.1338,1
62.95,11.2,1
62.955,11.9324,1
62.96,12.8174,1
62.965,11.6516,1
62.97,8.72192,1
62.975,7.01294,1
62.98,7.02515,1
62.985,8.08105,1
62.99,9.46045,1
62.995,9.92432,1
63,9.78394,1
63.005,9.7168,1
63.01,10.0708,1
63.015,10.675,1
63.02,11.6089,1
63.025,11.145,1
63.03,9.61914,1
63.035,8.05054,1
63.04,7.39136,1
63.045,8.89282,1
63.05,11.8103,1
63.055,14.6545,1
63.06,15.7288,1
63.065,16.1255,1
63.07,18.3777,1
63.075,22.229,1
63.08,25.2686,1
63.085,27.9907,1
63.09,29.1382,1
63.095,29.6936,1
63.1,32.428,1
63.105,34.3201,1
63.11,38.3301,1
63.115,46.4172,1
63.12,52.1179,1
63.125,54.1382,1
63.13,56.9641,1
63.135,60.1135,1
63.14,60.9131,1
63.145,56.6895,1
63.15,48.7854,1
63.155,42.0837,1
63.16,38.3301,1
63.165,38.2324,1
63.17,36.2854,1
63.175,31.7505,1
63.18,28.5095,1
63.185,26.6785,1
63.19,22.4609,1
