sec,EEG
6.20E+01,-6.9458
62.005,-6.14624
62.01,-7.88574
62.015,-10.2661
62.02,-12.0239
62.025,-11.8347
62.03,-8.76465
62.035,-6.4209
62.04,-5.60913
62.045,-5.46265
62.05,-6.89087
62.055,-6.92139
62.06,-6.98242
62.065,-7.89795
62.07,-9.48486
62.075,-12.9395
62.08,-14.1052
62.085,-11.9629
62.09,-8.8562
62.095,-7.41577
62.1,-7.18384
62.105,-8.8501
62.11,-8.89282
62.115,-7.04956
62.12,-5.07202
62.125,-6.57959
62.13,-9.41772
62.135,-10.3149
62.14,-7.25708
62.145,-5.26123
62.15,-5.0354
62.155,-8.6792
62.16,-12.0605
62.165,-10.3088
62.17,-7.62939
62.175,-4.54712
62.18,0.65918
62.185,-1.52588
62.19,-6.97021
62.195,-8.12988
62.2,-8.30688
62.205,-6.32935
62.21,-1.26953
62.215,-2.14844
62.22,-4.05884
62.225,-4.50439
62.23,-5.05371
62.235,-5.2063
62.24,-6.57349
62.245,-6.82373
62.25,-6.03638
62.255,-4.26025
62.26,-3.03955
62.265,-0.537109
62.27,1.94092
62.275,1.82495
62.28,-0.0854492
62.285,-2.72217
62.29,-3.97949
62.295,-5.7373
62.3,-7.15332
62.305,-8.09937
62.31,-7.84302
62.315,-6.02417
62.32,-3.28369
62.325,-1.64795
62.33,-2.78931
62.335,-3.52783
62.34,-2.21558
62.345,-1.2146
62.35,-0.280762
62.355,0.360107
62.36,-0.00610352
62.365,-0.0671387
62.37,-0.250244
62.375,0.256348
62.38,-0.579834
62.385,-1.01318
62.39,0.354004
62.395,1.31226
62.4,3.00293
62.405,5.10254
62.41,5.79834
62.415,7.17773
62.42,11.2
62.425,16.3391
62.43,21.3867
62.435,25.2441
62.44,30.6152
62.445,37.0422
62.45,37.5916
62.455,38.8062
62.46,44.2993
62.465,47.345
62.47,50.1343
62.475,52.2095
62.48,47.6685
62.485,43.4998
62.49,42.2058
62.495,43.1824
62.5,41.7542
62.505,35.6628
62.51,30.835
62.515,28.3325
62.52,27.4475
62.525,25.531
62.53,22.2107
62.535,16.6016
62.54,10.7239
62.545,5.65796
62.55,2.41699
62.555,0.476074
62.56,-1.72119
62.565,-1.01318
62.57,-0.769043
62.575,-2.88086
62.58,-4.50439
62.585,-5.31006
62.59,-5.81055
62.595,-7.76978
62.6,-12.4634
62.605,-14.2517
62.61,-12.4573
62.615,-10.0281
62.62,-10.1257
62.625,-12.0422
62.63,-12.4878
62.635,-10.3882
62.64,-7.67822
62.645,-6.9458
62.65,-8.23975
62.655,-9.00269
62.66,-8.02612
62.665,-8.47778
62.67,-11.3708
62.675,-12.9944
62.68,-10.2051
62.685,-5.00488
62.69,0.20752
62.695,0.927734
62.7,-0.90332
62.705,-2.58179
62.71,-3.41187
62.715,-3.74146
62.72,-2.11182
62.725,1.10474
62.73,3.42407
62.735,1.9165
62.74,0.201416
62.745,-0.415039
62.75,0.683594
62.755,3.09448
62.76,0.299072
62.765,-4.42505
62.77,-5.17578
62.775,-3.19824
62.78,-0.769043
62.785,0
62.79,-1.55029
62.795,-1.72729
62.8,-1.49536
62.805,-0.994873
62.81,-0.585938
62.815,-0.549316
62.82,-0.604248
62.825,-0.88501
62.83,-1.81885
62.835,-2.55127
62.84,-1.40991
62.845,0.274658
62.85,0.878906
62.855,2.4231
62.86,4.99878
62.865,6.86646
62.87,6.32935
62.875,3.27759
62.88,0.836182
62.885,1.55029
62.89,4.38232
62.895,6.7627
62.9,6.32324
62.905,6.30493
62.91,7.8064
62.915,9.21021
62.92,9.69238
62.925,11.377
62.93,12.0667
62.935,12.0728
62.94,13.0188
62.945,12.1338
62.95,11.2
62.955,11.9324
