sec,EEG,ID
74,-5.22461,1
74.005,-4.35181,1
74.01,-2.02637,1
74.015,0.0305176,1
74.02,-1.02539,1
74.025,-2.14233,1
74.03,-3.17993,1
74.035,-3.48511,1
74.04,-4.35181,1
74.045,-5.02319,1
74.05,-5.53589,1
74.055,-5.09644,1
74.06,-5.08423,1
74.065,-5.18188,1
74.07,-2.53906,1
74.075,-0.842285,1
74.08,0.128174,1
74.085,0.299072,1
74.09,0.384521,1
74.095,1.41602,1
74.1,0.22583,1
74.105,-2.16675,1
74.11,-3.52783,1
74.115,-3.04565,1
74.12,-1.02539,1
74.125,-1.25732,1
74.13,-2.16675,1
74.135,-1.67236,1
74.14,0.891113,1
74.145,2.83813,1
74.15,2.2644,1
74.155,0.360107,1
74.16,-0.311279,1
74.165,-0.274658,1
74.17,-0.958252,1
74.175,-0.598145,1
74.18,-0.610352,1
74.185,0.189209,1
74.19,-0.115967,1
74.195,-2.62451,1
74.2,-4.56543,1
74.205,-1.81885,1
74.21,2.86865,1
74.215,5.12085,1
74.22,3.4668,1
74.225,0.793457,1
74.23,0.195313,1
74.235,1.26953,1
74.24,2.88696,1
74.245,-0.866699,1
74.25,-0.140381,1
74.255,4.73633,1
74.26,8.59375,1
74.265,10.5103,1
74.27,10.2356,1
74.275,7.14722,1
74.28,5.09033,1
74.285,5.96313,1
74.29,6.68945,1
74.295,6.17676,1
74.3,7.89185,1
74.305,8.77686,1
74.31,7.61108,1
74.315,5.71899,1
74.32,4.72412,1
74.325,3.46069,1
74.33,2.9541,1
74.335,4.81567,1
74.34,6.68945,1
74.345,7.08618,1
74.35,7.40967,1
74.355,7.56836,1
74.36,5.57251,1
74.365,4.08325,1
74.37,3.48511,1
74.375,1.7395,1
74.38,2.39868,1
74.385,3.57056,1
74.39,4.6875,1
74.395,6.54907,1
74.4,7.55615,1
74.405,9.09424,1
74.41,10.0464,1
74.415,9.18579,1
74.42,7.04956,1
74.425,5.29175,1
74.43,3.66821,1
74.435,3.00293,1
74.44,4.32739,1
74.445,5.14526,1
74.45,5.19409,1
74.455,4.80957,1
74.46,5.9082,1
74.465,8.00171,1
74.47,9.10034,1
74.475,9.41772,1
74.48,9.21021,1
74.485,10.0281,1
74.49,10.8765,1
74.495,11.261,1
74.5,11.7188,1
74.505,9.88159,1
74.51,8.01392,1
74.515,10.3516,1
74.52,11.4319,1
74.525,11.1938,1
74.53,10.1135,1
74.535,7.91626,1
74.54,6.80542,1
74.545,7.83081,1
74.55,9.84497,1
74.555,10.2356,1
74.56,9.59473,1
74.565,7.22046,1
74.57,6.4209,1
74.575,7.78809,1
74.58,8.88672,1
74.585,8.44727,1
74.59,6.67114,1
74.595,6.32935,1
74.6,8.93555,1
74.605,11.3403,1
74.61,12.2498,1
74.615,10.9558,1
74.62,9.86328,1
74.625,10.4858,1
74.63,11.6089,1
74.635,10.4126,1
74.64,7.2937,1
74.645,5.57251,1
74.65,5.67017,1
74.655,5.31616,1
74.66,6.2561,1
74.665,3.46069,1
74.67,2.31934,1
74.675,6.41479,1
74.68,9.729,1
74.685,12.8418,1
74.69,15.9912,1
74.695,19.1895,1
74.7,20.4529,1
74.705,20.4346,1
74.71,18.6707,1
74.715,13.6414,1
74.72,12.915,1
74.725,18.0481,1
74.73,23.0042,1
74.735,22.8088,1
74.74,17.8772,1
74.745,13.1836,1
74.75,12.5305,1
74.755,14.2822,1
74.76,15.7349,1
74.765,16.8823,1
74.77,16.6565,1
74.775,16.0095,1
74.78,18.6279,1
74.785,20.5688,1
74.79,23.3398,1
74.795,23.8403,1
74.8,24.6399,1
74.805,29.3152,1
74.81,36.9141,1
74.815,46.4844,1
74.82,54.7363,1
74.825,59.2224,1
74.83,61.0962,1
74.835,64.5081,1
74.84,66.1621,1
74.845,65.0574,1
74.85,61.8896,1
74.855,57.135,1
74.86,53.6072,1
74.865,50.6958,1
74.87,50.1465,1
74.875,48.5352,1
74.88,44.5129,1
74.885,38.2324,1
74.89,30.2246,1
74.895,22.644,1
74.9,19.5679,1
74.905,17.6575,1
74.91,13.6902,1
74.915,8.57544,1
74.92,5.88379,1
74.925,3.39966,1
74.93,0.592041,1
74.935,-5.00488,1
74.94,-10.4187,1
74.945,-13.9771,1
74.95,-15.0513,1
74.955,-13.8,1
74.96,-15.8997,1
74.965,-18.811,1
74.97,-20.5444,1
74.975,-23.0103,1
74.98,-24.2371,1
74.985,-23.9197,1
74.99,-21.4355,1
74.995,-18.8354,1
75,-17.2852,1
75.005,-18.9026,1
75.01,-21.8811,1
75.015,-21.8872,1
75.02,-19.6045,1
75.025,-17.3157,1
75.03,-15.3076,1
75.035,-13.9648,1
75.04,-14.8926,1
75.045,-16.4978,1
75.05,-18.0115,1
75.055,-19.7998,1
75.06,-20.3552,1
75.065,-22.2717,1
75.07,-24.5728,1
75.075,-25.2136,1
75.08,-24.7742,1
75.085,-22.4365,1
75.09,-19.7144,1
75.095,-18.2312,1
75.1,-18.4143,1
75.105,-19.9768,1
75.11,-22.3816,1
75.115,-22.6868,1
75.12,-20.2332,1
75.125,-18.4143,1
75.13,-17.5049,1
75.135,-17.5964,1
75.14,-17.334,1
75.145,-16.4612,1
75.15,-15.2161,1
75.155,-14.74,1
75.16,-16.7114,1
75.165,-21.0693,1
75.17,-21.9299,1
75.175,-17.6025,1
75.18,-13.3301,1
75.185,-10.9009,1
75.19,-11.1267,1
75.195,-14.1541,1
75.2,-16.0217,1
75.205,-15.9058,1
75.21,-12.8906,1
75.215,-12.0056,1
75.22,-12.6648,1
75.225,-12.7319,1
75.23,-13.8123,1
75.235,-12.9272,1
75.24,-9.19189,1
75.245,-8.09937,1
75.25,-8.54492,1
75.255,-9.10645,1
75.26,-9.86938,1
75.265,-9.80835,1
75.27,-9.60083,1
75.275,-11.3037,1
75.28,-14.6423,1
75.285,-16.9189,1
75.29,-15.2954,1
75.295,-11.9934,1
75.3,-8.81958,1
75.305,-5.91431,1
75.31,-5.39551,1
75.315,-7.04346,1
75.32,-8.05054,1
75.325,-7.35474,1
75.33,-6.63452,1
75.335,-5.92041,1
75.34,-4.60205,1
75.345,-3.17993,1
75.35,-1.68457,1
75.355,-1.33057,1
75.36,-1.48315,1
75.365,-1.14746,1
75.37,-0.738525,1
75.375,-2.48413,1
75.38,-4.13208,1
75.385,-4.5105,1
75.39,-4.46777,1
75.395,-5.18188,1
75.4,-6.22559,1
75.405,-6.75049,1
75.41,-5.98145,1
75.415,-4.15039,1
75.42,-3.86963,1
75.425,-5.97534,1
75.43,-7.69043,1
75.435,-6.10962,1
75.44,-1.87378,1
75.445,0.732422,1
75.45,1.49536,1
75.455,0.524902,1
75.46,-0.830078,1
75.465,-2.71606,1
75.47,-2.53296,1
75.475,-1.76392,1
75.48,-2.24609,1
75.485,-2.39868,1
75.49,-2.23999,1
75.495,-2.14844,1
75.5,-2.2644,1
75.505,-2.09961,1
75.51,-1.97144,1
75.515,-2.39258,1
75.52,-1.58691,1
75.525,1.28784,1
75.53,3.03955,1
75.535,4.36401,1
75.54,5.14526,1
75.545,5.5542,1
75.55,5.76782,1
75.555,5.46265,1
75.56,5.23682,1
75.565,3.69263,1
75.57,2.49634,1
75.575,2.30713,1
75.58,2.63062,1
75.585,2.66724,1
75.59,2.03857,1
75.595,2.28882,1
75.6,3.49121,1
75.605,4.06494,1
75.61,5.15137,1
75.615,5.43213,1
75.62,5.40161,1
75.625,4.54102,1
75.63,3.6499,1
75.635,2.64893,1
75.64,2.98462,1
75.645,3.77808,1
75.65,2.13623,1
75.655,-0.732422,1
75.66,-1.72729,1
75.665,1.09253,1
75.67,4.94995,1
75.675,6.13403,1
75.68,4.58984,1
75.685,2.65503,1
75.69,1.71509,1
75.695,2.35596,1
75.7,4.46167,1
75.705,8.8501,1
75.71,13.269,1
75.715,6.53687,1
75.72,-1.32446,1
75.725,-1.62964,1
75.73,-2.88696,1
75.735,-0.88501,1
75.74,3.05786,1
75.745,-0.335693,1
75.75,-4.26636,1
75.755,-3.93066,1
75.76,-1.00098,1
75.765,-0.457764,1
75.77,0.476074,1
75.775,2.44141,1
75.78,3.80859,1
75.785,5.27954,1
75.79,7.44019,1
75.795,8.19092,1
75.8,6.34766,1
75.805,3.14331,1
75.81,1.87378,1
75.815,2.97852,1
75.82,3.37524,1
75.825,3.52173,1
75.83,5.63354,1
75.835,8.3374,1
75.84,10.907,1
75.845,11.6943,1
75.85,10.6445,1
75.855,11.0535,1
75.86,12.4939,1
75.865,12.5793,1
75.87,11.9202,1
75.875,10.8154,1
75.88,10.6873,1
75.885,11.9263,1
75.89,12.7563,1
75.895,12.7136,1
75.9,12.3596,1
75.905,11.2488,1
75.91,9.82056,1
75.915,7.9834,1
75.92,3.24707,1
75.925,4.08936,1
75.93,10.2844,1
75.935,14.624,1
75.94,18.7622,1
75.945,23.3704,1
75.95,25.0427,1
75.955,25.4822,1
75.96,25.4639,1
75.965,24.1272,1
75.97,21.5088,1
75.975,19.9829,1
75.98,21.4111,1
75.985,22.1191,1
75.99,21.8933,1
75.995,22.1863,1
76,22.2473,1
76.005,20.6726,1
76.01,19.4275,1
76.015,21.2219,1
76.02,23.9685,1
76.025,23.5352,1
76.03,23.053,1
76.035,22.4121,1
76.04,20.2942,1
76.045,18.103,1
76.05,16.394,1
76.055,16.4551,1
76.06,18.0298,1
76.065,19.7205,1
76.07,18.512,1
76.075,15.1855,1
76.08,13.5986,1
76.085,12.9395,1
76.09,13.2751,1
76.095,13.3545,1
76.1,15.0696,1
76.105,17.7551,1
76.11,19.3115,1
76.115,18.6096,1
76.12,16.3086,1
76.125,15.4236,1
76.13,18.5181,1
76.135,21.3989,1
76.14,21.051,1
76.145,19.0674,1
76.15,17.8711,1
76.155,17.749,1
76.16,18.8416,1
76.165,18.0847,1
76.17,19.1162,1
76.175,19.9463,1
76.18,15.8203,1
76.185,12.0728,1
76.19,8.58154,1
76.195,6.70776,1
76.2,8.74023,1
76.205,11.3159,1
76.21,9.77783,1
76.215,6.10962,1
76.22,3.9856,1
76.225,5.43823,1
76.23,7.65991,1
76.235,9.46045,1
76.24,8.70972,1
76.245,7.31201,1
76.25,5.80444,1
76.255,5.40771,1
76.26,6.32324,1
76.265,5.2124,1
76.27,3.03345,1
76.275,3.19214,1
76.28,5.10254,1
76.285,7.73926,1
76.29,9.95483,1
76.295,9.33838,1
76.3,6.23779,1
76.305,4.73022,1
76.31,4.27856,1
76.315,5.33447,1
76.32,6.03638,1
76.325,6.86035,1
76.33,7.51953,1
76.335,8.55103,1
76.34,9.05151,1
76.345,8.52661,1
76.35,8.48389,1
76.355,8.93555,1
76.36,8.89893,1
76.365,8.77075,1
76.37,8.80737,1
76.375,9.56421,1
76.38,9.8999,1
76.385,9.69238,1
76.39,9.00269,1
76.395,6.87866,1
76.4,5.06592,1
76.405,5.45654,1
76.41,6.51245,1
76.415,7.04346,1
76.42,7.52563,1
76.425,7.24487,1
76.43,7.03125,1
76.435,6.14624,1
76.44,3.13721,1
76.445,5.78003,1
76.45,11.3403,1
76.455,14.6973,1
76.46,16.5405,1
76.465,17.5781,1
76.47,17.2485,1
76.475,15.1489,1
76.48,21.7041,1
76.485,26.4526,1
76.49,27.0813,1
76.495,24.707,1
76.5,17.2913,1
76.505,9.77783,1
76.51,4.79126,1
76.515,4.82788,1
76.52,7.09229,1
76.525,5.23682,1
76.53,0.317383,1
76.535,-2.00806,1
76.54,-2.53906,1
76.545,-2.83813,1
76.55,-2.96021,1
76.555,-2.75269,1
76.56,-3.79028,1
76.565,-3.8208,1
76.57,-3.17383,1
76.575,-2.0752,1
76.58,-1.78833,1
76.585,-2.55127,1
76.59,-3.86963,1
76.595,-6.04858,1
76.6,-8.44116,1
76.605,-11.6577,1
76.61,-13.2813,1
76.615,-13.7817,1
76.62,-13.6963,1
76.625,-11.6333,1
76.63,-9.71069,1
76.635,-10.0159,1
76.64,-10.0037,1
76.645,-9.11865,1
76.65,-8.22144,1
76.655,-7.26929,1
76.66,-7.00073,1
76.665,-8.44116,1
76.67,-9.82056,1
76.675,-10.4126,1
76.68,-12.0483,1
76.685,-13.8,1
76.69,-12.7136,1
76.695,-10.791,1
76.7,-8.03223,1
76.705,-7.1167,1
76.71,-10.8398,1
76.715,-13.5986,1
76.72,-13.9709,1
76.725,-14.2212,1
76.73,-13.4705,1
76.735,-11.2976,1
76.74,-10.8032,1
76.745,-11.853,1
76.75,-11.6577,1
76.755,-11.0229,1
76.76,-10.8032,1
76.765,-9.90601,1
76.77,-9.32617,1
76.775,-9.64966,1
76.78,-9.17358,1
76.785,-7.41577,1
76.79,-7.07397,1
76.795,-6.84204,1
76.8,-8.44116,1
76.805,-10.7178,1
76.81,-11.7371,1
76.815,-10.5774,1
76.82,-8.89893,1
76.825,-7.44019,1
76.83,-7.33032,1
76.835,-7.10449,1
76.84,-6.16455,1
76.845,-6.84204,1
76.85,-7.43408,1
76.855,-8.02002,1
76.86,-6.29272,1
76.865,-3.23486,1
76.87,-2.16064,1
76.875,-1.76392,1
76.88,-2.11792,1
76.885,-0.262451,1
76.89,3.46069,1
76.895,3.85742,1
76.9,3.70483,1
76.905,3.85742,1
76.91,4.74854,1
76.915,3.84521,1
76.92,0.494385,1
76.925,0.323486,1
76.93,2.16064,1
76.935,5.70068,1
76.94,6.96411,1
76.945,6.01807,1
76.95,3.37524,1
76.955,-0.238037,1
76.96,-2.34985,1
76.965,-4.19922,1
76.97,-4.40063,1
76.975,-2.83813,1
76.98,0.158691,1
76.985,1.66626,1
76.99,0.421143,1
76.995,-0.708008,1
77,-0.689697,1
77.005,0.164795,1
77.01,1.72119,1
77.015,3.06396,1
