sec,EEG
0.00E+00,10.2356
5.00E-03,7.67822
0.01,2.09961
0.015,-3.22266
0.02,-2.33154
0.025,4.41895
0.03,10.3394
0.035,9.85718
0.04,5.54199
0.045,6.16455
0.05,7.76978
0.055,7.59277
0.06,7.15942
0.065,5.3833
0.07,3.68042
0.075,3.95508
0.08,4.74854
0.085,3.1311
0.09,1.2085
0.095,1.06201
0.1,1.53809
0.105,-0.128174
0.11,-3.20435
0.115,-3.75977
0.12,-3.39966
0.125,-3.68042
0.13,-4.54102
0.135,-5.70679
0.14,-4.40063
0.145,-4.6814
0.15,-5.49927
0.155,-4.67529
0.16,-5.87158
0.165,-9.06982
0.17,-10.2112
0.175,-9.25293
0.18,-6.15845
0.185,-1.34888
0.19,0.476074
0.195,-0.0427246
0.2,0.750732
0.205,-1.26343
0.21,-0.469971
0.215,2.02637
0.22,-0.482178
0.225,-2.61841
0.23,-3.1311
0.235,-2.79541
0.24,-3.96729
0.245,-4.18701
0.25,-4.06494
0.255,-5.26733
0.26,-3.93066
0.265,-1.96533
0.27,-3.85132
0.275,-3.10669
0.28,1.32446
0.285,1.86157
0.29,2.49634
0.295,-0.366211
0.3,-6.30493
0.305,-7.04956
0.31,-4.53491
0.315,-2.7832
0.32,-3.31421
0.325,-3.32031
0.33,-3.25317
0.335,-3.71704
0.34,-2.83203
0.345,-1.96533
0.35,-1.0376
0.355,-0.415039
0.36,-0.384521
0.365,-0.994873
0.37,-1.09253
0.375,-1.69067
0.38,-1.70898
0.385,-0.830078
0.39,-1.61743
0.395,-3.54614
0.4,-4.57153
0.405,-4.54712
0.41,-4.38843
0.415,-5.74341
0.42,-6.03027
0.425,-5.44434
0.43,-4.29688
0.435,-4.57764
0.44,-4.5166
0.445,-5.36499
0.45,-7.21436
0.455,-8.06274
0.46,-7.75757
0.465,-6.63452
0.47,-6.61621
0.475,-7.70874
0.48,-10.0647
0.485,-12.0911
0.49,-12.384
0.495,-11.1206
0.5,-11.0535
0.505,-10.0281
0.51,-8.69751
0.515,-8.30078
0.52,-7.36694
0.525,-6.81152
0.53,-6.45142
0.535,-4.43115
0.54,-3.37524
0.545,-3.302
0.55,-4.55933
0.555,-7.19604
0.56,-10.1074
0.565,-11.6333
0.57,-11.2915
0.575,-10.3516
0.58,-9.85107
0.585,-10.6628
