sec,EEG
0.00E+00,-6.30493
0.005,-4.47388
0.01,-8.27026
0.015,-10.1685
0.02,-9.25903
0.025,-7.15332
0.03,-6.604
0.035,-8.58154
0.04,-10.5774
0.045,-7.20825
0.05,-3.57666
0.055,-4.28467
0.06,-8.41064
0.065,-11.4624
0.07,-10.8398
0.075,-6.32935
0.08,-1.62964
0.085,0.90332
0.09,0.512695
0.095,-0.878906
0.1,1.25122
0.105,2.13013
0.11,0.45166
0.115,-0.982666
0.12,0.921631
0.125,3.84521
0.13,3.75366
0.135,0.305176
0.14,-2.74658
0.145,-4.07715
0.15,-0.250244
0.155,5.3894
0.16,6.57959
0.165,0.842285
0.17,-8.46558
0.175,-12.6953
0.18,-10.9619
0.185,-5.3772
0.19,-0.787354
0.195,-0.720215
0.2,-5.27954
0.205,-10.1929
0.21,-9.03931
0.215,-0.390625
0.22,5.5603
0.225,3.41797
0.23,0.0732422
0.235,-0.335693
0.24,0.67749
0.245,1.72729
0.25,0.299072
0.255,-2.46582
0.26,-1.3855
0.265,2.27051
0.27,2.22168
0.275,1.55029
0.28,3.23486
0.285,-0.457764
0.29,-5.5603
0.295,-8.10547
0.3,-9.375
0.305,-8.08716
0.31,-7.33643
0.315,-7.51953
0.32,-7.56226
0.325,-6.7627
0.33,-4.32129
0.335,-2.47192
0.34,-4.46167
0.345,-6.82983
0.35,-9.41162
0.355,-11.3464
0.36,-9.198
0.365,-6.30493
0.37,-3.71094
0.375,-4.76685
0.38,-8.53882
0.385,-10.199
0.39,-10.8276
0.395,-11.9751
0.4,-12.085
0.405,-10.8521
0.41,-9.33838
0.415,-8.59985
0.42,-10.7544
0.425,-13.4827
0.43,-14.4775
0.435,-13.5925
0.44,-11.6699
0.445,-8.72803
0.45,-8.78906
0.455,-9.22852
0.46,-8.00171
0.465,-5.63965
0.47,-5.16968
0.475,-5.35889
0.48,-8.3374
0.485,-10.5896
0.49,-7.12891
0.495,-5.23682
0.5,-9.41772
0.505,-13.4338
0.51,-14.3005
0.515,-13.2629
0.52,-9.77173
0.525,-7.38525
0.53,-8.39233
0.535,-9.729
0.54,-9.52148
0.545,-9.73511
0.55,-10.553
0.555,-13.7573
0.56,-12.9883
0.565,-10.6018
0.57,-10.5896
0.575,-9.8999
0.58,-9.98535
0.585,-12.2498
0.59,-14.1479
0.595,-9.91211
0.6,-5.23071
0.605,-4.52271
0.61,-7.25098
0.615,-10.9436
0.62,-14.0259
0.625,-13.0859
0.63,-9.36279
0.635,-8.45337
0.64,-9.62524
0.645,-8.58765
0.65,-8.44727
0.655,-12.0972
0.66,-13.2568
0.665,-11.8103
0.67,-8.94775
0.675,-6.81763
0.68,-7.43408
0.685,-11.7859
0.69,-13.3972
0.695,-9.79614
0.7,-6.39648
0.705,-5.77393
0.71,-5.61523
0.715,-4.40674
0.72,-6.08521
0.725,-9.82666
0.73,-12.2192
0.735,-10.7605
0.74,-9.2041
0.745,-7.34863
0.75,-3.6499
0.755,-3.08228
0.76,-3.35083
0.765,-2.67334
0.77,-5.23682
0.775,-3.43018
0.78,0.823975
0.785,-0.549316
0.79,-4.76074
0.795,-8.1665
0.8,-9.8877
0.805,-7.2876
0.81,-2.00195
0.815,-0.518799
0.82,-3.23486
0.825,-4.19922
0.83,-6.48804
0.835,-9.60693
0.84,-9.0332
0.845,-6.26831
0.85,-5.13306
0.855,-3.05176
0.86,0.0976563
0.865,0.585938
0.87,-2.2522
0.875,-6.79321
0.88,-9.50928
