sec,EEG
0.00E+00,-16.5344
0.005,-23.7305
0.01,-24.6399
0.015,-22.2412
0.02,-19.9524
0.025,-18.4143
0.03,-20.9778
0.035,-20.2393
0.04,-21.405
0.045,-21.0022
0.05,-16.8335
0.055,-14.6851
0.06,-18.2373
0.065,-19.1284
0.07,-17.2119
0.075,-11.8286
0.08,-8.20313
0.085,-7.17773
0.09,-1.08643
0.095,1.02539
0.1,-0.512695
0.105,-2.67944
0.11,-3.56445
0.115,-3.6499
0.12,0.354004
0.125,6.36597
0.13,18.3228
0.135,10.9131
0.14,-7.15332
0.145,-19.5068
0.15,-25.9216
0.155,-18.1763
0.16,-3.14941
0.165,-1.26953
0.17,-8.17871
0.175,-13.7207
0.18,-13.8428
0.185,-10.144
0.19,-9.85107
0.195,-11.4807
0.2,-13.8733
0.205,-10.8154
0.21,-8.63037
0.215,-8.39233
0.22,-4.01611
0.225,-3.40576
0.23,-4.94385
0.235,-4.87671
0.24,-2.50854
0.245,-0.32959
0.25,-1.02539
0.255,-1.48315
0.26,-3.58276
0.265,-6.7627
0.27,-4.20532
0.275,1.33667
0.28,5.2124
0.285,4.91943
0.29,2.15454
0.295,1.83105
0.3,2.76489
0.305,5.01099
0.31,5.19409
0.315,2.21558
0.32,1.48926
0.325,6.73218
0.33,11.1755
0.335,12.262
0.34,12.9517
0.345,12.8418
0.35,11.1877
0.355,9.12476
0.36,6.64673
0.365,5.94482
0.37,10.1013
0.375,11.261
0.38,7.2876
0.385,1.19629
0.39,2.39258
0.395,4.82178
0.4,6.34766
0.405,5.60913
0.41,1.37939
0.415,-2.67944
0.42,-5.15137
0.425,-3.17993
0.43,0.0610352
0.435,2.61841
0.44,1.81274
0.445,-0.952148
0.45,-3.60718
0.455,-3.4729
0.46,-0.231934
0.465,-0.134277
0.47,-1.2146
0.475,-0.32959
0.48,0.726318
0.485,0.762939
0.49,-1.66016
0.495,-3.88184
0.5,-0.970459
0.505,4.15039
0.51,8.62427
0.515,10.8337
0.52,10.9741
0.525,9.2041
0.53,7.04346
0.535,8.09326
0.54,9.00269
0.545,11.792
0.55,14.679
0.555,14.5691
0.56,13.9771
0.565,14.8132
0.57,11.6943
0.575,9.03931
0.58,7.9834
0.585,5.70068
0.59,4.05884
0.595,5.22461
0.6,4.93164
0.605,3.85742
0.61,2.89917
0.615,2.97852
0.62,4.79736
0.625,5.05371
0.63,1.92261
0.635,1.45874
0.64,7.43408
0.645,10.7117
0.65,10.7239
0.655,11.438
0.66,8.99658
0.665,4.98657
0.67,6.28052
0.675,8.1543
0.68,13.5376
0.685,20.6848
0.69,26.4954
0.695,26.0681
0.7,24.7253
0.705,27.5391
0.71,32.2754
0.715,34.7595
0.72,35.8521
0.725,39.0747
0.73,42.3645
0.735,45.2454
0.74,46.3379
0.745,46.2524
0.75,46.9849
0.755,41.4307
0.76,33.5815
0.765,28.1128
0.77,30.0659
0.775,31.2439
0.78,29.0283
0.785,20.3552
0.79,12.5854
0.795,10.8154
0.8,9.08203
0.805,5.40161
0.81,-1.17188
0.815,-6.37207
0.82,-8.58765
0.825,-11.7676
0.83,-9.32617
0.835,-11.0168
0.84,-11.8042
0.845,-8.19702
0.85,-6.45142
0.855,-3.22876
0.86,3.52173
0.865,8.6731
0.87,8.28247
0.875,13.1897
0.88,21.5149
0.885,29.5898
0.89,36.2854
0.895,36.7615
0.9,35.6995
0.905,37.4023
0.91,37.0789
0.915,28.2349
0.92,20.2942
0.925,21.5637
0.93,19.4519
0.935,16.1316
0.94,7.37915
0.945,-2.53906
0.95,-8.46558
0.955,-9.47266
0.96,-11.377
0.965,-13.324
0.97,-8.79517
0.975,-15.4724
0.98,-28.3997
0.985,-43.1946
0.99,-45.2148
0.995,-43.7256
1,-41.6931
1.005,-45.0317
1.01,-48.4741
1.015,-42.0471
1.02,-36.7126
1.025,-37.5916
1.03,-47.5098
1.035,-53.0701
1.04,-51.4709
1.045,-48.6816
1.05,-48.3948
1.055,-49.7253
1.06,-49.823
1.065,-48.5901
1.07,-48.9441
1.075,-48.7183
1.08,-45.3247
1.085,-41.217
1.09,-39.6851
1.095,-38.8611
1.1,-38.1226
1.105,-38.7268
1.11,-42.7734
1.115,-45.2576
1.12,-46.7773
1.125,-47.9553
1.13,-42.6453
1.135,-41.0095
1.14,-42.981
1.145,-43.8293
1.15,-45.0134
1.155,-44.397
1.16,-36.4197
1.165,-28.772
1.17,-19.6045
1.175,-12.6587
1.18,-11.4014
1.185,-9.21631
1.19,-7.22656
1.195,-7.67822
1.2,-9.00879
1.205,-11.4624
1.21,-10.3333
1.215,-6.87866
1.22,-6.05469
1.225,-7.75757
1.23,-12.6038
1.235,-13.2385
1.24,-9.30176
1.245,-5.71899
1.25,-5.46265
1.255,-7.47681
1.26,-8.95386
1.265,-9.93042
1.27,-7.55005
1.275,-6.26221
1.28,-7.70264
1.285,-7.02515
1.29,-2.55127
1.295,-2.20947
1.3,-4.92554
1.305,-6.04248
1.31,-6.427
1.315,-3.79028
1.32,-1.2085
1.325,-0.372314
1.33,0.939941
1.335,3.54614
1.34,6.87866
1.345,5.07202
1.35,2.92358
1.355,2.02637
1.36,3.28979
1.365,4.96826
1.37,1.20239
1.375,-2.19727
1.38,-0.769043
1.385,-0.494385
1.39,4.22363
1.395,11.0718
1.4,13.6047
1.405,11.2854
1.41,7.50122
1.415,7.47681
1.42,11.6333
1.425,13.2263
1.43,10.4248
1.435,4.79736
1.44,2.771
1.445,5.42603
1.45,7.36694
1.455,5.65186
1.46,3.88184
1.465,4.31519
1.47,4.61426
1.475,-0.976563
1.48,-4.05273
1.485,-3.84521
1.49,-1.74561
1.495,3.67432
1.5,6.00586
1.505,6.47583
1.51,7.24487
1.515,6.19507
1.52,4.52881
1.525,5.29175
1.53,7.55005
1.535,10.6201
1.54,11.499
1.545,9.42993
1.55,10.0525
1.555,11.6638
1.56,5.76172
1.565,2.89307
1.57,3.16772
1.575,4.91333
1.58,8.00781
1.585,9.58862
1.59,6.39038
1.595,6.78711
1.6,9.42993
1.605,7.44019
1.61,6.40869
1.615,5.76782
1.62,10.5103
1.625,13.7268
1.63,15.1489
1.635,12.3901
1.64,8.6731
1.645,4.63257
1.65,2.94189
1.655,8.27637
1.66,14.3677
1.665,13.3667
1.67,15.6677
1.675,17.3218
1.68,17.4377
1.685,22.3755
1.69,26.9287
1.695,27.002
1.7,26.1597
1.705,27.2644
1.71,28.7415
1.715,26.9287
1.72,24.3164
1.725,22.7295
1.73,24.4385
1.735,23.6694
1.74,21.6064
1.745,24.8962
1.75,25.177
1.755,25.0244
1.76,25.7751
1.765,25.1709
1.77,21.2708
1.775,20.2332
1.78,20.1538
1.785,22.1069
1.79,23.4253
1.795,22.0032
1.8,20.5322
1.805,22.5342
1.81,18.0237
1.815,13.7573
1.82,17.6147
1.825,17.8711
1.83,14.7034
1.835,16.1682
1.84,12.5854
1.845,11.9751
1.85,15.1001
1.855,18.4326
1.86,18.1519
1.865,15.0696
1.87,13.855
1.875,12.3352
1.88,8.56934
1.885,7.65991
1.89,9.61914
1.895,7.02515
1.9,5.98145
1.905,4.6814
1.91,1.92261
1.915,2.34375
1.92,4.69971
1.925,7.2937
1.93,4.48608
1.935,2.84424
1.94,3.57056
1.945,6.55518
1.95,8.69751
1.955,5.95093
1.96,8.34961
1.965,8.97827
1.97,7.03125
1.975,9.90601
1.98,7.93457
1.985,4.02832
1.99,5.5481
1.995,10.5713
2,10.8276
2.005,7.33032
2.01,5.05371
2.015,4.88281
2.02,4.18701
2.025,5.3772
2.03,10.3271
