Time,EEG,State
0,4.92554,0
0.005,5.17578,0
0.01,4.04053,0
0.015,4.39453,0
0.02,7.76367,0
0.025,7.86133,0
0.03,7.40356,0
0.035,8.06274,0
0.04,5.85327,0
0.045,4.30298,0
0.05,5.18799,0
0.055,3.86353,0
0.06,2.86865,0
0.065,2.49023,0
0.07,4.03442,0
0.075,1.63574,0
0.08,1.74561,0
0.085,2.63672,0
0.09,2.4292,0
0.095,7.95288,0
0.1,13.8977,0
0.105,17.5659,0
0.11,19.9951,0
0.115,16.8396,0
0.12,12.6221,0
0.125,12.8357,0
0.13,13.7024,0
0.135,16.9922,0
0.14,20.2881,0
0.145,17.3096,0
0.15,13.0737,0
0.155,12.7991,0
0.16,16.4124,0
0.165,17.7551,0
0.17,15.5945,0
0.175,13.9954,0
0.18,9.66187,0
0.185,10.7056,0
0.19,12.9944,0
0.195,9.65576,0
0.2,7.33032,0
0.205,7.1167,0
0.21,8.07495,0
0.215,9.65576,0
0.22,9.06372,0
0.225,6.96411,0
0.23,6.28662,0
0.235,8.23364,0
0.24,10.5347,0
0.245,11.261,0
0.25,10.376,0
0.255,8.56934,0
0.26,7.36694,0
0.265,8.18481,0
0.27,10.8521,0
0.275,10.1868,0
0.28,6.82373,0
0.285,4.79126,0
0.29,3.67432,0
0.295,6.28052,0
0.3,10.3455,0
0.305,11.6943,0
0.31,10.4248,0
0.315,8.27026,0
0.32,5.44434,0
0.325,3.70483,0
0.33,0.98877,0
0.335,2.16064,0
0.34,5.07813,0
0.345,6.50635,0
0.35,4.32129,0
0.355,0.274658,0
0.36,0.970459,0
0.365,3.72314,0
0.37,3.93066,0
0.375,4.88892,0
0.38,5.85327,0
0.385,6.14014,0
0.39,9.3689,0
0.395,9.52148,0
0.4,6.62231,0
0.405,6.41479,0
0.41,7.91016,0
0.415,7.26929,0
0.42,7.62329,0
0.425,9.74121,0
0.43,9.64966,0
0.435,6.52466,0
0.44,3.86963,0
0.445,2.80151,0
0.45,3.31421,0
0.455,5.00488,0
0.46,6.70166,0
0.465,6.09131,0
0.47,7.51343,0
0.475,7.96509,0
0.48,7.02515,0
0.485,7.64771,0
0.49,10.0647,0
0.495,11.0596,0
0.5,9.12476,0
0.505,5.05981,0
0.51,2.97241,0
0.515,5.00488,0
0.52,7.8064,0
0.525,9.80225,0
0.53,8.72192,0
0.535,6.04248,0
0.54,5.99976,0
0.545,8.58154,0
0.55,10.8337,0
0.555,12.0117,0
0.56,11.8042,0
0.565,10.1501,0
0.57,9.49097,0
0.575,11.2793,0
0.58,14.6362,0
0.585,14.4714,0
0.59,9.30786,0
0.595,3.91235,0
0.6,2.52686,0
0.605,3.50342,0
0.61,6.33545,0
0.615,9.26514,0
0.62,10.614,0
0.625,11.8896,0
0.63,15.5334,0
0.635,17.6147,0
0.64,15.7227,0
0.645,13.3118,0
0.65,10.3149,0
0.655,8.25195,0
0.66,6.89087,0
0.665,7.79419,0
0.67,10.1685,0
0.675,13.4827,0
0.68,13.6902,0
0.685,10.3577,0
0.69,8.3374,0
0.695,9.2041,0
0.7,11.1816,0
0.705,13.5071,0
0.71,11.9141,0
0.715,6.89697,0
0.72,3.69263,0
0.725,2.88696,0
0.73,4.62646,0
0.735,7.23877,0
0.74,9.24683,0
0.745,9.40552,0
0.75,8.07495,0
0.755,7.51953,0
0.76,7.76978,0
0.765,9.0271,0
0.77,9.75342,0
0.775,9.63135,0
0.78,8.92944,0
0.785,7.59888,0
0.79,6.62842,0
0.795,8.48999,0
0.8,10.199,0
0.805,10.7727,0
0.81,9.65576,0
0.815,7.04956,0
0.82,5.50537,0
0.825,4.13818,0
0.83,4.13818,0
0.835,4.48608,0
0.84,5.56641,0
0.845,7.88574,0
0.85,8.81958,0
0.855,6.86035,0
0.86,4.93164,0
0.865,4.93164,0
0.87,7.36694,0
0.875,9.16748,0
0.88,9.28955,0
0.885,8.42285,0
0.89,6.86035,0
0.895,5.0415,0
0.9,2.32544,0
0.905,-0.775146,0
0.91,-2.7832,0
0.915,-3.91235,0
0.92,-2.75269,0
0.925,0.415039,0
0.93,2.63672,0
0.935,2.23389,0
0.94,1.08032,0
0.945,-1.48926,0
0.95,-2.17896,0
0.955,-0.335693,0
0.96,2.55737,0
0.965,4.36401,0
0.97,5.24902,0
0.975,6.70776,0
0.98,7.31812,0
0.985,5.74951,0
0.99,4.63867,0
0.995,4.24194,0
1,4.08325,0
1.005,5.9082,0
1.01,6.67725,0
1.015,5.9021,0
1.02,5.77393,0
1.025,5.30396,0
1.03,3.62549,0
1.035,2.91138,0
1.04,3.68652,0
1.045,3.63159,0
1.05,1.89209,0
1.055,1.37939,0
1.06,2.30103,0
1.065,4.46167,0
1.07,7.31201,0
1.075,8.28857,0
1.08,7.51953,0
1.085,6.50635,0
1.09,5.3772,0
1.095,5.18188,0
1.1,4.73022,0
1.105,4.18701,0
1.11,4.60815,0
1.115,5.83496,0
1.12,6.7688,0
1.125,7.1167,0
1.13,7.75757,0
1.135,8.1543,0
1.14,9.83887,0
1.145,11.676,0
1.15,12.3718,0
1.155,11.3831,0
1.16,8.8562,0
1.165,7.74536,0
1.17,8.61816,0
1.175,10.553,0
1.18,10.8521,0
1.185,9.16138,0
1.19,7.83691,0
1.195,8.70972,0
1.2,10.8948,0
1.205,12.8113,0
1.21,11.5356,0
1.215,7.9895,0
1.22,5.78613,0
1.225,6.87866,0
1.23,8.6853,0
1.235,8.23975,0
1.24,6.55518,0
1.245,5.67017,0
1.25,5.09033,0
1.255,3.80859,0
1.26,1.54419,0
1.265,0.695801,0
1.27,2.10571,0
1.275,4.29077,0
1.28,4.59595,0
1.285,2.14233,0
1.29,0.750732,0
1.295,2.05688,0
1.3,3.58276,0
1.305,3.8208,0
1.31,2.78931,0
1.315,3.10059,0
1.32,4.3457,0
1.325,4.10767,0
1.33,2.76489,0
1.335,0.268555,0
1.34,-1.29395,0
1.345,-1.02539,0
1.35,0.22583,0
1.355,1.48315,0
1.36,1.61133,0
1.365,1.09253,0
1.37,1.28174,0
1.375,2.41699,0
1.38,4.38843,0
1.385,6.29272,0
1.39,5.93262,0
1.395,4.94385,0
1.4,5.0293,0
1.405,6.50635,0
1.41,7.95898,0
1.415,7.76978,0
1.42,6.03027,0
1.425,4.22363,0
1.43,2.65503,0
1.435,1.3855,0
1.44,2.12402,0
1.445,4.22974,0
1.45,5.92041,0
1.455,6.073,0
1.46,3.72314,0
1.465,0.396729,0
1.47,-0.518799,0
1.475,1.79443,0
1.48,4.20532,0
1.485,5.56641,0
1.49,6.54297,0
1.495,7.25708,0
1.5,7.44019,0
1.505,6.31714,0
1.51,4.90723,0
1.515,5.09033,0
1.52,6.85425,0
1.525,8.39844,0
1.53,8.02002,0
1.535,6.46362,0
1.54,6.40869,0
1.545,8.01392,0
1.55,9.11865,0
1.555,9.60083,0
1.56,8.58765,0
1.565,6.34766,0
1.57,5.49316,0
1.575,6.09131,0
1.58,7.1228,0
1.585,7.00073,0
1.59,7.33032,0
1.595,7.08008,0
1.6,8.69141,0
1.605,11.7859,0
1.61,14.0442,0
1.615,13.2935,0
1.62,11.8103,0
1.625,10.3699,0
1.63,9.93042,0
1.635,9.8938,0
1.64,9.52148,0
1.645,9.33228,0
1.65,9.13696,0
1.655,9.70459,0
1.66,10.2356,0
1.665,9.64966,0
1.67,9.3689,0
1.675,10.5957,0
1.68,13.0127,0
1.685,14.1602,0
1.69,13.9954,0
1.695,12.1582,0
1.7,9.19189,0
1.705,7.18994,0
1.71,6.604,0
1.715,7.2876,0
1.72,9.14307,0
1.725,11.3953,0
1.73,12.0728,0
1.735,10.6262,0
1.74,8.12378,0
1.745,6.98853,0
1.75,7.75757,0
1.755,10.0281,0
1.76,10.2417,0
1.765,7.48901,0
1.77,4.6875,0
1.775,4.52881,0
1.78,6.54907,0
1.785,8.53271,0
1.79,9.47876,0
1.795,8.20313,0
1.8,5.63965,0
1.805,5.07202,0
1.81,5.24902,0
1.815,5.46875,0
1.82,5.99365,0
1.825,5.37109,0
1.83,4.62036,0
1.835,4.84009,0
1.84,6.15845,0
1.845,8.25806,0
1.85,9.96094,0
1.855,9.87549,0
1.86,7.86133,0
1.865,5.00488,0
1.87,3.73535,0
1.875,3.50952,0
1.88,4.3396,0
1.885,4.66309,0
1.89,3.79639,0
1.895,2.74658,0
1.9,3.08228,0
1.905,3.95508,0
1.91,3.302,0
1.915,2.58789,0
1.92,2.49634,0
1.925,2.65503,0
1.93,2.92969,0
1.935,1.64185,0
1.94,-0.274658,0
1.945,-1.33057,0
1.95,-0.512695,0
1.955,-0.0915527,0
1.96,-1.33057,0
1.965,-3.35693,0
1.97,-4.19312,0
1.975,-3.27759,0
1.98,-0.134277,0
1.985,2.85645,0
1.99,1.95313,0
1.995,-0.0915527,0
2,-1.97144,0
2.005,-2.03857,0
2.01,-1.42212,0
2.015,-1.37939,0
2.02,-2.38647,0
2.025,-3.88184,0
2.03,-2.6062,0
2.035,-0.512695,0
2.04,0.402832,0
2.045,-0.909424,0
2.05,-2.32544,0
2.055,-3.72314,0
2.06,-4.12598,0
2.065,-3.71094,0
2.07,-3.36914,0
2.075,-2.80762,0
2.08,-3.63159,0
2.085,-4.35181,0
2.09,-3.8147,0
2.095,-2.79541,0
2.1,-1.20239,0
2.105,-0.0366211,0
2.11,-0.708008,0
2.115,-2.58179,0
2.12,-3.83301,0
2.125,-3.43018,0
2.13,-2.87476,0
2.135,-2.54517,0
2.14,-1.68457,0
2.145,-0.927734,0
2.15,0.805664,0
2.155,4.35181,0
2.16,6.2439,0
2.165,6.81763,0
2.17,5.93872,0
2.175,3.33252,0
2.18,2.09351,0
2.185,1.29395,0
2.19,0.10376,0
2.195,-0.732422,0
2.2,-1.52588,0
2.205,-0.842285,0
2.21,0.90332,0
2.215,2.75269,0
2.22,3.45459,0
2.225,2.89917,0
2.23,0.012207,0
2.235,-2.30713,0
2.24,-2.58789,0
2.245,-2.0874,0
2.25,-2.51465,0
2.255,-2.58179,0
2.26,-3.14331,0
2.265,-3.6377,0
2.27,-2.09961,0
2.275,0.158691,0
2.28,-0.836182,0
2.285,-2.20337,0
2.29,-1.89819,0
2.295,-1.00708,0
2.3,-0.244141,0
2.305,0.457764,0
2.31,1.5686,0
2.315,2.80151,0
2.32,3.55835,0
2.325,2.98462,0
2.33,1.75171,0
2.335,2.33154,0
2.34,4.60815,0
2.345,7.20825,0
2.35,7.05566,0
2.355,5.10254,0
2.36,3.69263,0
2.365,2.00195,0
