Color1,Color2,Congruent,Response Time,Accuracy,Block,Trial
yellow,blue,0,3,3,1,981
green,blue,0,11,3,1,898
red,green,0,6,2,1,1114
yellow,red,0,4,1,1,1216
yellow,red,0,4,1,1,1087
blue,yellow,0,13,4,1,1041
blue,red,0,16,1,1,871
green,green,1,10,2,1,854
yellow,green,0,2,2,1,885
yellow,blue,0,3,3,1,1077
blue,blue,1,15,3,1,701
red,red,1,8,1,1,1021
yellow,red,0,4,1,1,657
blue,blue,1,15,3,1,1185
blue,green,0,14,2,1,945
green,yellow,0,9,4,1,1110
red,yellow,0,5,4,1,850
red,blue,0,7,3,1,1029
blue,yellow,0,13,4,1,924
red,red,1,8,1,1,1331
blue,red,0,16,1,1,780
red,green,0,6,2,1,1066
yellow,blue,0,3,3,1,936
yellow,yellow,1,1,4,1,1366
yellow,yellow,1,1,4,1,674
green,red,0,12,1,1,1110
green,yellow,0,9,4,1,1220
blue,green,0,14,2,1,1337
red,blue,0,7,3,1,1276
red,yellow,0,5,4,1,913
green,red,0,12,1,1,1895
red,red,1,8,1,1,879
green,green,1,10,2,1,1060
blue,yellow,0,13,4,1,1671
yellow,yellow,1,1,4,1,706
red,blue,0,7,3,1,1036
yellow,green,0,2,2,1,929
green,yellow,0,9,4,1,1035
blue,blue,1,15,3,1,820
blue,red,0,16,1,1,915
