ID,color1,color2,Congruent,Response Time,Accuracy,Trial,Block
1,yellow,blue,0,3,3,1,981
1,green,blue,0,11,3,1,898
1,red,green,0,6,2,1,1114
1,yellow,red,0,4,1,1,1216
1,yellow,red,0,4,1,1,1087
1,blue,yellow,0,13,4,1,1041
1,blue,red,0,16,1,1,871
1,green,green,1,10,2,1,854
1,yellow,green,0,2,2,1,885
1,yellow,blue,0,3,3,1,1077
1,blue,blue,1,15,3,1,701
1,red,red,1,8,1,1,1021
1,yellow,red,0,4,1,1,657
1,blue,blue,1,15,3,1,1185
1,blue,green,0,14,2,1,945
1,green,yellow,0,9,4,1,1110
1,red,yellow,0,5,4,1,850
1,red,blue,0,7,3,1,1029
1,blue,yellow,0,13,4,1,924
1,red,red,1,8,1,1,1331
1,blue,red,0,16,1,1,780
1,red,green,0,6,2,1,1066
1,yellow,blue,0,3,3,1,936
1,yellow,yellow,1,1,4,1,1366
1,yellow,yellow,1,1,4,1,674
1,green,red,0,12,1,1,1110
1,green,yellow,0,9,4,1,1220
1,blue,green,0,14,2,1,1337
1,red,blue,0,7,3,1,1276
1,red,yellow,0,5,4,1,913
1,green,red,0,12,1,1,1895
1,red,red,1,8,1,1,879
1,green,green,1,10,2,1,1060
1,blue,yellow,0,13,4,1,1671
1,yellow,yellow,1,1,4,1,706
1,red,blue,0,7,3,1,1036
1,yellow,green,0,2,2,1,929
1,green,yellow,0,9,4,1,1035
1,blue,blue,1,15,3,1,820
1,blue,red,0,16,1,1,915
