sec,EEG
0.000,-6.15234
0.005,-5.53589
0.010,-1.97144
0.015,3.39355
0.020,2.98462
0.025,-1.03149
0.030,-4.63867
0.035,-3.9917
0.040,0.238037
0.045,4.18701
0.050,4.69971
0.055,6.39648
0.060,7.59277
0.065,6.70776
0.070,4.53491
0.075,2.0752
0.080,2.03247
0.085,4.38843
0.090,5.26123
0.095,4.18701
0.100,3.68042
0.105,4.22363
0.110,5.46265
0.115,3.17383
0.120,1.27563
0.125,3.32031
0.130,7.89795
0.135,9.85107
0.140,7.85522
0.145,4.79736
0.150,9.552
0.155,20.5994
0.160,27.1851
0.165,33.197
0.170,40.1306
0.175,41.1865
0.180,39.6545
0.185,37.9456
0.190,36.2061
0.195,38.031
0.200,42.6147
0.205,43.0664
0.210,35.4492
0.215,27.2217
0.220,25.5005
0.225,25.1404
0.230,22.2778
0.235,16.687
0.240,14.1479
0.245,14.2334
0.250,17.2363
0.255,17.1509
0.260,14.7461
0.265,15.2588
0.270,17.9199
0.275,22.0886
0.280,24.5667
0.285,20.7031
0.290,16.0828
0.295,16.4795
0.300,19.1162
0.305,18.512
0.310,18.1274
0.315,16.333
0.320,14.0198
0.325,14.1724
0.330,16.6687
0.335,19.9951
0.340,19.0125
0.345,16.333
0.350,12.5488
0.355,10.8154
0.360,12.7625
0.365,14.7522
0.370,13.4399
0.375,8.80127
0.380,5.7373
0.385,6.90918
0.390,10.5896
0.395,12.384
0.400,13.1165
0.405,12.1094
0.410,8.3313
0.415,7.18384
0.420,7.39746
0.425,9.27734
0.430,9.67407
0.435,8.96606
0.440,9.11255
0.445,7.53784
0.450,4.25415
0.455,3.16772
0.460,4.08936
0.465,3.91235
0.470,3.8269
0.475,4.99268
0.480,5.26123
0.485,6.12183
0.490,6.45752
0.495,4.46167
0.500,2.51465
0.505,1.70898
0.510,2.75269
0.515,5.02319
0.520,6.20117
0.525,6.45142
0.530,7.36084
0.535,5.78613
0.540,3.44849
0.545,1.58691
0.550,2.00195
0.555,1.87378
0.560,2.14844
0.565,1.86768
0.570,2.41089
0.575,4.1626
0.580,5.3772
0.585,6.21948
0.590,8.3374
0.595,8.97217
0.600,7.1228
0.605,4.91943
0.610,5.09033
0.615,8.41064
0.620,10.8948
0.625,10.2234
0.630,6.56128
0.635,3.38745
0.640,3.31421
0.645,2.89917
0.650,1.67847
0.655,1.10474
0.660,2.2644
0.665,4.46777
0.670,6.96411
0.675,8.72803
0.680,8.97827
0.685,7.84912
0.690,5.27344
0.695,1.64795
0.700,-0.19531
0.705,0.714111
0.710,2.27051
0.715,1.31226
0.720,-0.59204
0.725,-0.98267
0.730,0.335693
0.735,2.15454
0.740,2.74658
0.745,1.7395
0.750,-0.31738
0.755,-1.25122
0.760,0.88501
0.765,3.60107
0.770,4.82788
0.775,4.91943
0.780,4.23584
0.785,5.19409
0.790,6.56128
0.795,7.01904
0.800,7.43408
0.805,6.03638
0.810,3.39355
0.815,1.75781
0.820,1.36108
0.825,1.65405
0.830,3.2959
0.835,4.48608
0.840,4.04663
0.845,3.87573
0.850,5.00488
0.855,6.28662
0.860,5.51758
0.865,3.03345
0.870,-0.01831
0.875,-2.82593
0.880,-3.07617
0.885,-1.55029
0.890,0.738525
0.895,3.6377
0.900,4.92554
0.905,4.25415
0.910,2.13623
0.915,0.836182
0.920,2.05078
0.925,3.15552
0.930,3.41187
0.935,3.56445
0.940,3.75366
0.945,3.43018
0.950,3.49731
0.955,4.08936
0.960,4.38843
0.965,5.13306
0.970,5.12085
0.975,4.90723
0.980,6.68945
0.985,9.32617
0.990,11.8469
0.995,12.5549
1.000,11.1023
1.005,10.3149
1.010,9.552
1.015,8.52051
1.020,6.54907
1.025,4.71802
1.030,4.85229
1.035,4.38843
1.040,3.19824
1.045,1.44653
1.050,0.378418
1.055,0.286865
1.060,-2.49023
1.065,-8.03833
1.070,-6.2561
1.075,3.02734
1.080,10.6628
1.085,17.0837
1.090,22.0154
1.095,28.1067
1.100,37.146
1.105,48.175
1.110,54.9438
1.115,59.4177
1.120,66.4917
1.125,77.8687
1.130,87.8845
1.135,95.1477
1.140,100
1.145,101.764
1.150,99.884
1.155,95.0012
1.160,90.918
1.165,89.3433
1.170,90.5273
1.175,91.8091
1.180,90.3381
1.185,86.615
1.190,83.3252
1.195,81.8848
1.200,82.5684
1.205,82.0618
1.210,79.1626
1.215,77.7588
1.220,77.3376
1.225,77.9053
1.230,78.4729
1.235,77.179
1.240,76.4526
1.245,76.7517
1.250,76.2451
1.255,74.5178
1.260,72.6807
1.265,72.0703
1.270,71.9727
1.275,71.228
1.280,69.5862
1.285,68.5791
1.290,66.7603
1.295,65.7471
1.300,64.7827
1.305,63.9893
1.310,63.4338
1.315,62.9822
1.320,61.3892
1.325,60.3455
1.330,59.8145
1.335,59.8877
1.340,59.6008
1.345,59.6069
1.350,59.7412
1.355,58.2825
1.360,55.7373
1.365,52.1118
1.370,48.5352
1.375,47.522
1.380,48.5901
1.385,50.116
1.390,51.9836
1.395,51.4954
1.400,49.707
1.405,47.5037
1.410,46.1487
1.415,45.9778
1.420,46.106
1.425,45.4041
1.430,45.3491
1.435,45.4834
1.440,45.5017
1.445,45.1172
1.450,42.9626
1.455,42.4255
1.460,43.2739
1.465,44.0186
1.470,44.4824
1.475,44.751
1.480,44.6899
1.485,44.6594
1.490,44.9341
1.495,44.2871
1.500,42.6941
1.505,41.6809
1.510,41.2964
1.515,40.1855
1.520,39.2395
1.525,38.5803
1.530,37.1643
1.535,37.1948
1.540,37.1216
1.545,36.8164
1.550,36.9324
1.555,35.498
1.560,34.5154
1.565,33.8989
1.570,34.259
1.575,35.0708
1.580,35.4858
1.585,36.1816
1.590,36.7371
1.595,36.2122
1.600,35.0586
1.605,34.3872
1.610,34.4238
1.615,35.4736
1.620,35.4004
1.625,35.1257
1.630,36.8652
1.635,37.7197
1.640,36.2183
1.645,32.9773
1.650,28.6804
1.655,25.5615
1.660,28.595
1.665,32.3547
1.670,34.0942
1.675,35.9802
1.680,41.3086
1.685,48.0347
1.690,56.4758
1.695,67.1021
1.700,77.5513
1.705,85.2356
1.710,92.5232
1.715,99.1333
1.720,102.124
1.725,103.888
1.730,108.075
1.735,112.469
1.740,116.376
1.745,115.051
1.750,107.629
1.755,99.8657
1.760,96.0938
1.765,95.5139
1.770,96.6797
1.775,94.9768
1.780,90.7837
1.785,88.7024
1.790,87.1643
1.795,83.7769
1.800,79.2603
1.805,75.5737
1.810,72.8455
1.815,71.344
1.820,71.0266
1.825,70.752
1.830,69.6228
1.835,69.1895
1.840,69.5801
1.845,69.3176
1.850,66.6809
1.855,61.7126
1.860,58.3679
1.865,57.5867
1.870,57.1594
1.875,55.7434
1.880,52.71
1.885,50.2441
1.890,49.2371
1.895,49.353
1.900,48.5107
1.905,46.2891
1.910,44.5801
1.915,44.0796
1.920,42.6514
1.925,40.7104
1.930,40.1001
1.935,38.7024
1.940,37.5793
1.945,37.4573
1.950,39.5203
1.955,42.6636
1.960,44.6472
1.965,44.5129
1.970,44.0979
1.975,45.8923
1.980,48.9319
1.985,52.2522
1.990,54.9866
1.995,59.2468
2.000,55.9692
2.005,47.3633
2.010,43.6523
2.015,41.3147
