sec,EEG
0.000,5.83496
0.005,7.37305
0.010,6.43311
0.015,6.34766
0.020,8.87451
0.025,9.52148
0.030,8.31909
0.035,8.14819
0.040,9.552
0.045,10.9436
0.050,11.2488
0.055,11.1023
0.060,10.8276
0.065,10.4858
0.070,10.8765
0.075,11.4624
0.080,13.208
0.085,14.7705
0.090,14.1663
0.095,12.7197
0.100,11.3342
0.105,9.94263
0.110,9.28955
0.115,9.38721
0.120,10.0586
0.125,10.0403
0.130,10.6995
0.135,11.6394
0.140,12.2253
0.145,12.7625
0.150,12.5488
0.155,11.6943
0.160,10.3516
0.165,9.35059
0.170,8.76465
0.175,9.10034
0.180,10.5408
0.185,11.5112
0.190,10.8582
0.195,9.11255
0.200,7.15942
0.205,6.61621
0.210,6.92139
0.215,7.59277
0.220,8.74023
0.225,9.34448
0.230,10.1379
0.235,10.3271
0.240,9.81445
0.245,10.2173
0.250,11.5051
0.255,14.0015
0.260,14.2761
0.265,13.092
0.270,11.0352
0.275,9.47266
0.280,9.88159
0.285,10.675
0.290,11.1145
0.295,9.86328
0.300,7.84912
0.305,6.25
0.310,6.17065
0.315,7.86133
0.320,10.2417
0.325,10.6812
0.330,10.1807
0.335,8.8501
0.340,7.42798
0.345,6.75049
0.350,4.94385
0.355,4.1626
0.360,4.62646
0.365,4.85229
0.370,4.93774
0.375,6.12183
0.380,6.61621
0.385,6.21948
0.390,5.53589
0.395,5.34668
0.400,5.65186
0.405,7.40967
0.410,8.99048
0.415,8.38013
0.420,7.37915
0.425,6.29883
0.430,5.63965
0.435,6.04858
0.440,6.56128
0.445,7.50732
0.450,8.08105
0.455,7.20825
0.460,6.2439
0.465,6.79321
0.470,7.33032
0.475,8.46558
0.480,9.50928
0.485,9.12476
0.490,8.28857
0.495,7.25708
0.500,7.14722
0.505,8.44116
0.510,9.93652
0.515,9.00879
0.520,7.60498
0.525,7.86133
0.530,10.1868
0.535,11.9263
0.540,11.615
0.545,8.57544
0.550,5.26733
0.555,3.90625
0.560,3.77808
0.565,3.06396
0.570,1.98364
0.575,1.9043
0.580,2.87476
0.585,3.09448
0.590,3.48511
0.595,3.21045
0.600,3.21045
0.605,4.73022
0.610,7.89185
0.615,8.41675
0.620,7.69043
0.625,6.34155
0.630,2.96021
0.635,0.115967
0.640,-0.3479
0.645,-1.3855
0.650,-1.40381
0.655,3.75977
0.660,9.10645
0.665,12.9456
0.670,15.7043
0.675,18.3899
0.680,21.6431
0.685,24.4263
0.690,25.238
0.695,21.9421
0.700,18.8843
0.705,18.8477
0.710,19.2871
0.715,18.1519
0.720,13.8733
0.725,7.96509
0.730,6.06689
0.735,5.5542
0.740,4.15649
0.745,3.05786
0.750,1.59302
0.755,2.39868
0.760,4.72412
0.765,6.32324
0.770,6.10962
0.775,4.20532
0.780,2.83813
0.785,4.19312
0.790,7.21436
0.795,10.3455
0.800,12.6343
0.805,11.0779
0.810,7.70874
0.815,5.46875
0.820,4.77905
0.825,4.56543
0.830,5.15747
0.835,4.90723
0.840,4.23584
0.845,4.71802
0.850,6.22559
0.855,6.98242
0.860,6.427
0.865,6.03638
0.870,5.62744
0.875,5.22461
0.880,4.91943
0.885,4.72412
0.890,5.49927
0.895,6.95801
0.900,8.45337
0.905,10.0037
0.910,9.198
0.915,7.36084
0.920,6.09741
0.925,5.12085
0.930,4.73022
0.935,5.67017
0.940,6.28052
0.945,5.88989
0.950,4.79736
0.955,3.41797
0.960,2.87476
0.965,2.2644
0.970,2.6123
0.975,2.79541
0.980,3.79639
0.985,6.073
0.990,8.22754
0.995,9.76563
1.000,10.321
1.005,9.42383
1.010,9.0332
1.015,8.80737
1.020,9.84497
1.025,11.0779
1.030,11.7737
1.035,12.6648
1.040,12.2925
1.045,12.0178
1.050,11.4197
1.055,10.1196
1.060,9.74731
1.065,10.7727
1.070,12.3291
1.075,13.6963
1.080,13.7146
1.085,12.1704
1.090,10.6934
1.095,10.2295
1.100,10.9558
1.105,10.9314
1.110,11.2366
1.115,12.738
1.120,13.7817
1.125,14.8254
1.130,16.6138
1.135,17.5842
1.140,17.8101
1.145,16.2048
1.150,14.1479
