sec,EEG
0.000,6.62842
0.005,8.48999
0.010,10.199
0.015,10.7727
0.020,9.65576
0.025,7.04956
0.030,5.50537
0.035,4.13818
0.040,4.13818
0.045,4.48608
0.050,5.56641
0.055,7.88574
0.060,8.81958
0.065,6.86035
0.070,4.93164
0.075,4.93164
0.080,7.36694
0.085,9.16748
0.090,9.28955
0.095,8.42285
0.100,6.86035
0.105,5.0415
0.110,2.32544
0.115,-0.77515
0.120,-2.7832
0.125,-3.91235
0.130,-2.75269
0.135,0.415039
0.140,2.63672
0.145,2.23389
0.150,1.08032
0.155,-1.48926
0.160,-2.17896
0.165,-0.33569
0.170,2.55737
0.175,4.36401
0.180,5.24902
0.185,6.70776
0.190,7.31812
0.195,5.74951
0.200,4.63867
0.205,4.24194
0.210,4.08325
0.215,5.9082
0.220,6.67725
0.225,5.9021
0.230,5.77393
0.235,5.30396
0.240,3.62549
0.245,2.91138
0.250,3.68652
0.255,3.63159
0.260,1.89209
0.265,1.37939
0.270,2.30103
0.275,4.46167
0.280,7.31201
0.285,8.28857
0.290,7.51953
0.295,6.50635
0.300,5.3772
0.305,5.18188
0.310,4.73022
0.315,4.18701
0.320,4.60815
0.325,5.83496
0.330,6.7688
0.335,7.1167
0.340,7.75757
0.345,8.1543
0.350,9.83887
0.355,11.676
0.360,12.3718
0.365,11.3831
0.370,8.8562
0.375,7.74536
0.380,8.61816
0.385,10.553
0.390,10.8521
0.395,9.16138
0.400,7.83691
0.405,8.70972
0.410,10.8948
0.415,12.8113
0.420,11.5356
0.425,7.9895
0.430,5.78613
0.435,6.87866
0.440,8.6853
0.445,8.23975
0.450,6.55518
0.455,5.67017
0.460,5.09033
0.465,3.80859
0.470,1.54419
0.475,0.695801
0.480,2.10571
0.485,4.29077
0.490,4.59595
0.495,2.14233
0.500,0.750732
0.505,2.05688
0.510,3.58276
0.515,3.8208
0.520,2.78931
0.525,3.10059
0.530,4.3457
0.535,4.10767
0.540,2.76489
0.545,0.268555
0.550,-1.29395
0.555,-1.02539
0.560,0.22583
0.565,1.48315
0.570,1.61133
0.575,1.09253
0.580,1.28174
0.585,2.41699
0.590,4.38843
0.595,6.29272
0.600,5.93262
0.605,4.94385
0.610,5.0293
0.615,6.50635
0.620,7.95898
0.625,7.76978
0.630,6.03027
