sec,EEG
0.000,-18.6035
0.005,-10.6995
0.010,-4.3335
0.015,1.33667
0.020,1.97144
0.025,-1.06812
0.030,-6.4209
0.035,-12.0544
0.040,-11.9812
0.045,-7.60498
0.050,-3.96118
0.055,-4.52881
0.060,-2.98462
0.065,-6.86646
0.070,-11.5417
0.075,-13.3667
0.080,-12.2803
0.085,-6.64063
0.090,-2.97852
0.095,-4.01001
0.100,-5.7251
0.105,-7.52563
0.110,-8.40454
0.115,-7.49512
0.120,-5.11475
0.125,-5.41382
0.130,-5.64575
0.135,-5.7373
0.140,-8.71582
0.145,-12.5305
0.150,-18.4875
0.155,-13.6414
0.160,-6.71997
0.165,-7.15942
0.170,-6.74438
0.175,-6.58569
0.180,-11.2183
0.185,-10.2173
0.190,-3.31421
0.195,-1.69067
0.200,-2.68555
0.205,-6.53687
0.210,-10.2722
0.215,-12.9028
0.220,-8.93555
0.225,-2.19116
0.230,-0.46387
0.235,-1.17798
0.240,-3.75366
0.245,-7.69043
0.250,-11.9446
0.255,-12.7197
0.260,-9.18579
0.265,-7.26929
0.270,-7.15942
0.275,-4.96826
0.280,-7.62939
0.285,-9.60083
0.290,-6.63452
0.295,-5.88379
0.300,-2.92969
0.305,-3.07007
0.310,-4.82178
0.315,-6.96411
0.320,-10.8459
0.325,-8.88062
0.330,-3.19824
0.335,-1.78223
0.340,-3.86963
0.345,-5.94482
0.350,-8.14819
0.355,-8.12378
0.360,-6.41479
0.365,-7.06177
0.370,-10.8215
0.375,-11.1816
0.380,-9.32007
0.385,-6.28662
0.390,-5.23682
0.395,-7.60498
0.400,-7.26929
0.405,-6.26221
0.410,-7.1106
0.415,-8.44116
0.420,-9.45435
0.425,-8.03223
0.430,-7.17163
0.435,-6.69556
0.440,-6.70166
0.445,-8.74023
0.450,-9.09424
0.455,-9.50317
0.460,-10.2539
0.465,-10.73
0.470,-10.2844
0.475,-9.42993
0.480,-10.4797
0.485,-11.9263
0.490,-12.1338
0.495,-11.5356
0.500,-12.7075
0.505,-13.916
0.510,-12.6038
0.515,-11.2305
0.520,-10.3882
0.525,-10.083
0.530,-8.66699
0.535,-7.86133
0.540,-9.47876
0.545,-12.0544
