sec,EEG
0.000,-4.84009
0.005,-4.78516
0.010,-4.62646
0.015,-4.3396
0.020,-3.00903
0.025,-1.83716
0.030,-0.68359
0.035,-0.42114
0.040,-0.65308
0.045,-1.08032
0.050,-1.2146
0.055,-1.78833
0.060,-2.99072
0.065,-4.27246
0.070,-4.12598
0.075,-3.79639
0.080,-3.20435
0.085,-2.52686
0.090,-2.53296
0.095,-3.08838
0.100,-3.41797
0.105,-4.02222
0.110,-4.20532
0.115,-3.91846
0.120,-3.6499
0.125,-4.1748
0.130,-5.10254
0.135,-5.71289
0.140,-6.35376
0.145,-6.32324
0.150,-5.96313
0.155,-5.63965
0.160,-5.12085
0.165,-6.23779
0.170,-8.42896
0.175,-11.438
0.180,-12.5244
0.185,-11.4136
0.190,-11.1694
0.195,-11.5784
0.200,-11.6211
0.205,-10.5835
0.210,-8.00781
0.215,-5.54199
0.220,-5.25513
0.225,-6.75049
0.230,-7.85522
0.235,-7.92847
0.240,-8.8623
0.245,-10.0891
0.250,-11.1511
0.255,-11.3464
0.260,-10.3149
0.265,-8.82568
0.270,-7.9895
0.275,-7.94678
0.280,-8.23975
0.285,-9.65576
0.290,-10.2966
0.295,-9.76563
0.300,-9.83887
0.305,-10.3027
0.310,-11.1755
0.315,-11.6455
0.320,-10.9741
0.325,-9.61304
0.330,-9.13086
0.335,-10.5164
0.340,-10.8887
0.345,-11.1267
0.350,-11.9629
0.355,-12.6709
0.360,-13.0676
0.365,-13.7268
0.370,-13.8306
0.375,-14.5752
0.380,-14.9658
0.385,-15.8691
0.390,-16.04
0.395,-15.3687
0.400,-14.209
0.405,-12.3718
0.410,-10.73
0.415,-13.2324
0.420,-11.0352
0.425,-6.55518
0.430,-2.20337
0.435,-0.78125
0.440,-2.13623
0.445,-5.83496
0.450,-8.03833
0.455,-8.52661
0.460,-8.70361
0.465,-8.13599
0.470,-6.20728
0.475,-5.59692
0.480,-7.24487
0.485,-10.0281
0.490,-11.3403
0.495,-10.2173
0.500,-10.0281
0.505,-9.15527
0.510,-8.23975
0.515,-6.95801
0.520,-6.03638
0.525,-6.88477
0.530,-7.97729
0.535,-7.62939
0.540,-6.20728
0.545,-5.84717
0.550,-5.86548
0.555,-4.8584
0.560,-4.15649
0.565,-4.29688
0.570,-5.74951
0.575,-7.93457
0.580,-8.40454
0.585,-7.34863
0.590,-8.76465
0.595,-14.6545
0.600,-13.2813
0.605,-8.10547
0.610,-3.4668
0.615,1.78223
0.620,4.66919
0.625,4.76074
0.630,8.23975
0.635,13.9404
0.640,18.1213
0.645,20.7642
0.650,23.1812
0.655,24.8108
0.660,26.8982
0.665,29.2542
0.670,32.9102
0.675,35.0281
0.680,33.8379
0.685,28.125
0.690,23.0957
0.695,20.7947
0.700,20.0684
0.705,20.2209
0.710,20.3247
0.715,20.1172
0.720,20.2332
0.725,20.2881
0.730,18.2129
0.735,15.3503
0.740,12.6709
0.745,12.3718
0.750,13.5986
0.755,12.2437
0.760,9.16748
0.765,6.50635
0.770,4.88281
0.775,4.52271
0.780,5.07813
0.785,5.14526
0.790,4.3335
0.795,2.98462
0.800,1.64185
0.805,0.463867
0.810,-0.09766
0.815,0.482178
0.820,0.341797
0.825,-0.48218
0.830,-0.92773
0.835,-1.3916
0.840,-2.93579
0.845,-5.67017
0.850,-8.27026
0.855,-7.6355
0.860,-6.11572
0.865,-5.35278
0.870,-5.82886
0.875,-6.86646
0.880,-8.75244
0.885,-9.60693
0.890,-8.65479
0.895,-7.69043
0.900,-7.06177
0.905,-6.58569
0.910,-6.12793
0.915,-5.66406
0.920,-4.19922
0.925,-3.62549
0.930,-4.32129
0.935,-6.53687
0.940,-8.38013
0.945,-8.8562
0.950,-7.60498
0.955,-6.62842
0.960,-7.13501
0.965,-6.18896
0.970,-4.94995
0.975,-5.3772
0.980,-6.28662
0.985,-6.54297
0.990,-6.14624
0.995,-5.26123
1.000,-4.66309
1.005,-4.73633
1.010,-7.06177
1.015,-8.81348
1.020,-8.41064
1.025,-7.00684
1.030,-5.00488
1.035,-3.61938
1.040,-3.10669
1.045,-2.91748
1.050,-3.22266
1.055,-3.6377
1.060,-4.26025
1.065,-5.07813
1.070,-5.26123
1.075,-4.60205
1.080,-2.87476
1.085,-0.81177
1.090,3.19824
1.095,6.68335
1.100,-0.07935
1.105,-10.437
1.110,-18.3167
1.115,-24.2493
1.120,-27.5085
1.125,-30.5847
1.130,-35.553
1.135,-41.3147
1.140,-45.7703
1.145,-49.5789
1.150,-53.9307
1.155,-56.7627
1.160,-55.5115
1.165,-53.1677
1.170,-52.3621
1.175,-51.7944
1.180,-50.7874
1.185,-51.4893
1.190,-51.9043
1.195,-51.9897
1.200,-51.239
1.205,-50.1282
1.210,-50.7874
1.215,-52.0935
1.220,-51.2207
1.225,-48.999
1.230,-47.6013
1.235,-46.9299
1.240,-45.7458
1.245,-44.0918
1.250,-41.272
1.255,-38.0249
1.260,-36.7188
1.265,-35.7605
1.270,-34.8022
1.275,-33.136
1.280,-31.4636
1.285,-28.8208
1.290,-26.8677
1.295,-26.3245
1.300,-27.4719
1.305,-27.8992
1.310,-27.417
1.315,-25.3479
1.320,-23.5657
1.325,-22.1252
1.330,-21.3501
1.335,-21.8628
1.340,-24.0173
1.345,-25.2258
1.350,-25.8911
1.355,-22.9187
1.360,-15.4175
1.365,-14.3127
1.370,-19.4519
1.375,-26.9165
1.380,-35.6689
1.385,-42.3523
1.390,-45.2454
1.395,-49.2737
1.400,-55.7739
1.405,-60.1868
1.410,-63.4094
1.415,-65.0024
1.420,-64.3677
1.425,-62.2559
1.430,-61.7432
1.435,-64.8376
1.440,-69.5251
1.445,-72.0337
1.450,-73.1628
1.455,-74.4324
1.460,-78.1555
1.465,-82.3975
1.470,-85.7483
1.475,-89.3982
1.480,-91.1133
1.485,-91.7786
1.490,-89.1846
1.495,-87.146
1.500,-85.5896
1.505,-83.8318
1.510,-81.9824
1.515,-78.363
1.520,-74.054
1.525,-70.2454
1.530,-67.3279
1.535,-63.3179
1.540,-58.4656
1.545,-56.6162
1.550,-56.1646
1.555,-55.4749
1.560,-53.894
1.565,-52.771
1.570,-51.7273
1.575,-48.7488
1.580,-45.4346
1.585,-41.5283
1.590,-37.5916
1.595,-35.4614
1.600,-34.8145
1.605,-33.9294
1.610,-31.2622
1.615,-28.9734
1.620,-27.1729
1.625,-25.415
1.630,-24.0051
1.635,-22.6746
1.640,-20.7947
1.645,-18.689
1.650,-18.2861
1.655,-17.1265
1.660,-15.4358
1.665,-14.9231
1.670,-14.8376
1.675,-14.3921
1.680,-13.0798
1.685,-9.36279
1.690,-8.49609
