sec,EEG,alpha,beta,delta,theta 
2.44,-9.51538,-0.458429,-0.300244,-8.22506,0.938709
2.445,-8.83179,-0.477408,-0.0965516,-7.79171,0.80611
2.45,-7.40356,-0.456316,0.177482,-7.35087,0.66365
2.455,-7.04956,-0.390345,0.317293,-6.90547,0.51771
2.46,-7.83081,-0.279366,0.224235,-6.45845,0.374589
2.465,-8.44116,-0.128836,-0.0331538,-6.01286,0.240232
2.47,-7.99561,0.0505921,-0.279454,-5.57174,0.119856
2.475,-7.24487,0.243893,-0.361554,-5.13814,0.0176047
2.48,-6.86035,0.432991,-0.247131,-4.71507,-0.0633987
2.485,-6.48193,0.598635,-0.0258864,-4.30554,-0.121132
2.49,-5.85327,0.722859,0.1702,-3.91245,-0.154972
2.495,-5.60913,0.791075,0.258945,-3.53865,-0.165867
2.5,-6.06079,0.793626,0.245401,-3.18683,-0.156138
2.505,-6.20728,0.727187,0.185721,-2.8596,-0.129162
2.51,-5.60303,0.595483,0.122992,-2.55942,-0.0893718
2.515,-5.35889,0.409166,0.0574523,-2.28855,-0.0422405
2.52,-5.79224,0.184409,-0.030887,-2.04904,0.00613436
2.525,-6.2439,-0.0588987,-0.138385,-1.84277,0.0495011
2.53,-6.53076,-0.298808,-0.220782,-1.67137,0.0816502
2.535,-6.31714,-0.513521,-0.224364,-1.53621,0.0966264
2.54,-6.18896,-0.683984,-0.135469,-1.43843,0.0891339
2.545,-6.04858,-0.795828,-0.00206056,-1.37886,0.0549185
2.55,-5.13916,-0.840656,0.0977277,-1.35808,-0.00903906
2.555,-4.57764,-0.816472,0.118028,-1.37634,-0.104378
2.56,-4.96216,-0.727608,0.0831843,-1.43359,-0.230976
2.565,-5.09644,-0.584063,0.0655045,-1.5295,-0.386865
2.57,-4.27246,-0.400158,0.117573,-1.66341,-0.568388
2.575,-3.17993,-0.192623,0.215112,-1.83434,-0.770288
2.58,-2.88086,0.0211439,0.263488,-2.04102,-0.985767
2.585,-2.50244,0.224514,0.170217,-2.28186,-1.20646
2.59,-2.15454,0.40321,-0.0727984,-2.55496,-1.42298
2.595,-3.02734,0.546486,-0.36201,-2.85811,-1.62534
2.6,-3.66211,0.647377,-0.536439,-3.18882,-1.80315
2.605,-2.58179,0.702584,-0.479246,-3.54433,-1.94588
2.61,-1.40991,0.712256,-0.197229,-3.92163,-2.04359
2.615,-1.10474,0.679459,0.178737,-4.31745,-2.08737
2.62,-1.82495,0.609158,0.471077,-4.72829,-2.06976
2.625,-2.70386,0.507229,0.554841,-5.15044,-1.985
2.63,-2.6001,0.380266,0.414817,-5.58,-1.82938
2.635,-2.09961,0.235171,0.13478,-6.0129,-1.60179
2.64,-2.52075,0.0787739,-0.160794,-6.44496,-1.30376
2.645,-3.79639,-0.0821339,-0.368184,-6.87185,-0.939329
2.65,-4.30298,-0.24057,-0.437827,-7.28919,-0.515313
2.655,-4.1748,-0.389095,-0.373046,-7.69252,-0.041338
2.66,-4.47388,-0.519822,-0.212654,-8.07733,0.470641
2.665,-4.3335,-0.624771,-0.0143111,-8.43913,1.0066
2.67,-3.58887,-0.695841,0.157382,-8.77347,1.55079
2.675,-3.57666,-0.725524,0.247434,-9.07591,2.08612
2.68,-4.38232,-0.708039,0.233787,-9.34214,2.59496
2.685,-4.88892,-0.640368,0.142343,-9.56801,3.05976
2.69,-4.31519,-0.522969,0.0360742,-9.7494,3.46351
2.695,-3.62549,-0.360278,-0.0239097,-9.88234,3.79027
2.7,-4.01001,-0.161055,-0.0220226,-9.9632,4.02584
2.705,-4.58374,0.0615719,-0.00225333,-9.98858,4.15853
2.71,-4.73022,0.290875,-0.0364737,-9.95521,4.1796
2.715,-4.74243,0.508137,-0.162403,-9.86008,4.08361
2.72,-4.94995,0.694177,-0.334773,-9.70062,3.86871
2.725,-5.35278,0.831005,-0.43537,-9.47457,3.53688
2.73,-6.09131,0.90409,-0.346142,-9.17984,3.09396
2.735,-6.50024,0.904151,-0.0397479,-8.81476,2.54948
2.74,-6.75049,0.828376,0.374566,-8.37812,1.91654
2.745,-7.39136,0.680901,0.689886,-7.86908,1.21167
2.75,-7.72705,0.472956,0.711217,-7.28709,0.454083
2.755,-8.5083,0.222132,0.374904,-6.63199,-0.334992
2.76,-10.8215,-0.0494276,-0.194659,-5.90415,-1.1328
2.765,-12.4939,-0.317365,-0.732018,-5.10434,-1.91554
2.77,-12.4573,-0.557387,-0.96254,-4.23361,-2.65931
2.775,-12.0728,-0.747666,-0.749618,-3.29344,-3.34111
2.78,-12.146,-0.871146,-0.175998,-2.28577,-3.93954
2.785,-11.5784,-0.917323,0.48743,-1.21292,-4.43541
2.79,-10.3149,-0.88317,0.913398,-0.0775461,-4.81249
2.795,-9.18579,-0.773271,0.884992,1.11735,-5.05815
2.8,-8.69751,-0.599368,0.410948,2.36837,-5.16371
2.805,-7.83691,-0.379058,-0.2734,3.67175,-5.12461
2.81,-6.02417,-0.133741,-0.823422,5.02347,-4.94082
2.815,-3.91235,0.1139,-0.963002,6.41923,-4.617
2.82,-1.59912,0.341991,-0.627899,7.85444,-4.1622
2.825,1.45264,0.531566,0.00223856,9.32427,-3.58959
2.83,5.19409,0.668313,0.599899,10.8237,-2.91605
2.835,8.69751,0.743741,0.864574,12.3476,-2.16173
2.84,11.1755,0.755387,0.680898,13.8905,-1.34932
2.845,13.2324,0.706403,0.171731,15.4471,-0.50315
2.85,15.9363,0.604905,-0.380334,17.0116,0.351425
2.855,18.7744,0.462943,-0.694972,18.5785,1.18869
2.86,21.2708,0.294725,-0.643352,20.1422,1.98368
2.865,24.1394,0.115037,-0.301376,21.6969,2.71313
2.87,27.6672,-0.0619976,0.113528,23.2371,3.35612
2.875,30.7678,-0.22386,0.379491,24.7572,3.89457
2.88,32.7209,-0.360476,0.395223,26.2518,4.31387
2.885,34.1919,-0.464833,0.215349,27.7157,4.60361
2.89,36.3342,-0.532628,-0.0122301,29.1436,4.75768
2.895,38.4705,-0.561934,-0.154623,30.5307,4.77414
2.9,39.9231,-0.553151,-0.172517,31.8723,4.65553
2.905,40.9302,-0.508689,-0.12052,33.164,4.40882
2.91,42.334,-0.4325,-0.0807426,34.4015,4.04496
2.915,43.5242,-0.329631,-0.0868092,35.5812,3.57833
2.92,43.9819,-0.206076,-0.099758,36.6993,3.0263
2.925,44.4763,-0.0689425,-0.0498445,37.7528,2.40862
2.93,45.6421,0.0737254,0.0894499,38.7388,1.74656
2.935,46.3013,0.213231,0.256273,39.6549,1.06209
2.94,45.8435,0.340336,0.329129,40.4989,0.377282
2.945,45.5505,0.445668,0.212951,41.2694,-0.286298
2.95,45.7642,0.520478,-0.0794816,41.9649,-0.908481
2.955,45.8069,0.557716,-0.412014,42.5847,-1.47137
2.96,45.105,0.552505,-0.595651,43.1283,-1.95975
2.965,44.4031,0.502799,-0.504874,43.5957,-2.36139
2.97,44.7083,0.410193,-0.162865,43.9873,-2.66755
2.975,45.166,0.280416,0.262873,44.3038,-2.87322
2.98,44.8059,0.123027,0.557453,44.5466,-2.97712
2.985,44.2444,-0.0493834,0.583306,44.7172,-2.98138
2.99,43.9941,-0.221928,0.352981,44.8174,-2.89148
2.995,43.2495,-0.378677,0.00804314,44.8497,-2.71606
3,42.1509,-0.504467,-0.276471,44.8166,-2.4663
3.005,41.4917,-0.586749,-0.395415,44.721,-2.15538
3.01,41.5955,-0.616808,-0.355687,44.5662,-1.79797
3.015,41.6992,-0.59061,-0.239684,44.3556,-1.40976
3.02,41.1682,-0.509571,-0.128577,44.0931,-1.0068
3.025,40.7104,-0.380949,-0.0465998,43.7825,-0.60465
3.03,40.8325,-0.217079,0.035341,43.4279,-0.218001
3.035,40.7837,-0.0337059,0.14681,43.0336,0.139866
3.04,40.1794,0.151576,0.268625,42.6039,0.45765
3.045,39.8254,0.321016,0.330552,42.1435,0.726443
3.05,39.5996,0.458628,0.260098,41.6566,0.939768
3.055,38.9343,0.551967,0.0462046,41.148,1.09356
3.06,37.7991,0.593263,-0.230906,40.6221,1.18657
3.065,36.3708,0.579891,-0.432528,40.0834,1.22033
3.07,35.5347,0.514771,-0.440521,39.5364,1.19877
3.075,35.5286,0.405986,-0.232867,38.9853,1.1277
3.08,34.9548,0.265452,0.095692,38.4343,1.01464
3.085,34.0088,0.107342,0.38012,37.8875,0.868585
3.09,33.6243,-0.0533413,0.471786,37.3487,0.699567
3.095,32.8796,-0.202285,0.317184,36.8215,0.517822
3.1,31.4331,-0.32738,-0.0124953,36.3093,0.333456
3.105,30.603,-0.419728,-0.357201,35.8152,0.15614
3.11,30.8899,-0.474049,-0.548636,35.3422,-0.00529973
3.115,31.1768,-0.488694,-0.494154,34.8928,-0.143336
3.12,30.9631,-0.465476,-0.222042,34.4693,-0.252013
3.125,30.6763,-0.409231,0.13442,34.0738,-0.327004
3.13,31.3293,-0.326757,0.404512,33.7078,-0.365868
3.135,32.373,-0.225617,0.466322,33.3726,-0.368216
3.14,32.6538,-0.113642,0.307802,33.0693,-0.335559
