EEG,sec
-0.006220349099250001,0.0
-0.0062172220291875,0.004
-0.0061397040431621095,0.008
-0.006082959292464844,0.012
-0.006149340494609375,0.016
-0.006227278048648438,0.02
-0.00620818065450586,0.024
-0.006129224080123047,0.028
-0.00608401040028125,0.032
-0.006146450677375,0.036
-0.00621802081278711,0.04
-0.006201278930841797,0.044
-0.006128805484457031,0.048
-0.006084388157345704,0.052
-0.006147529983273438,0.056
-0.006224758695871094,0.06
-0.0062061489340781255,0.064
-0.0061303301255820316,0.068
-0.0060987132691914065,0.072
-0.006146781761751954,0.076
-0.006237692864394531,0.08
-0.006185400493615234,0.084
-0.006123107527191407,0.088
-0.006075981725683594,0.092
-0.006151195247763672,0.096
-0.0062194384956699225,0.1
-0.0062004393086406255,0.104
-0.006127556503892578,0.108
-0.006093703734066406,0.112
-0.006157574820736329,0.116
-0.006225491359830079,0.12
-0.006203614023738282,0.124
-0.006118368790888672,0.128
-0.006091524216794922,0.132
-0.006159868102683594,0.136
-0.006216692099714844,0.14
-0.006190791189021484,0.144
-0.006113337377941406,0.148
-0.00609354718609375,0.152
-0.006176632834798829,0.156
-0.006246220353339844,0.16
-0.006193181705734375,0.164
-0.006117547643292969,0.168
-0.006108512102697266,0.172
-0.006177200199656251,0.176
-0.006246093461970703,0.18
-0.00619486338100586,0.184
-0.0061133111245546875,0.188
-0.006099753681183594,0.192
-0.006178622744277344,0.196
-0.006231584576417969,0.2
-0.006188085631667969,0.204
-0.006102043073740235,0.208
-0.006108511616523438,0.212
-0.006177865285453125,0.216
-0.006229654952494141,0.22
-0.0061801794728750005,0.224
-0.0060987356331875,0.228
-0.006105157989457032,0.232
-0.006189376909355469,0.236
-0.00623960158284375,0.24
-0.00617709664463086,0.244
-0.006094016343837891,0.248
-0.0061085529412988285,0.252
-0.00618973716416211,0.256
-0.006246927250085937,0.26
-0.0061815840290644535,0.264
-0.006098294673525391,0.268
-0.006112063602511719,0.272
-0.006198382307173829,0.276
-0.006241986751644531,0.28
-0.006175165562185547,0.284
-0.006092734303453125,0.288
-0.0061186026405,0.292
-0.006194781703802735,0.296
-0.006235574118851563,0.3
-0.00617247070065625,0.304
-0.006088623217562501,0.308
-0.0061195210228613284,0.312
-0.006196457058814453,0.316
-0.006237007845470703,0.32
-0.0061649622320546875,0.324
-0.006096925608025391,0.328
-0.006110995478611329,0.332
-0.006201200656855469,0.336
-0.006228089472767579,0.34
-0.006163088031947266,0.344
-0.0060943182577851565,0.348
-0.006118358581238281,0.352
-0.006206696851982422,0.356
-0.0062400483765917975,0.36
-0.006164952508578125,0.364
-0.006091083257132813,0.368
-0.006121341743847657,0.372
-0.006210107361386719,0.376
-0.0062222981701269536,0.38
-0.006158819425736328,0.384
-0.006088721424675782,0.388
-0.006129219218384766,0.392
-0.006214630236509766,0.396
-0.0062474387049531255,0.4
-0.006165158160107422,0.404
-0.0060891108499121094,0.408
-0.006132440119996094,0.412
-0.006221989935919922,0.416
-0.006234150601882813,0.42
-0.006158354157382813,0.424
-0.00608555059896875,0.428
-0.00613608934075,0.432
-0.006230695364486329,0.436
-0.006218068943996094,0.44
-0.006157511618138672,0.444
-0.006089942693332032,0.448
-0.006146204187244141,0.452
-0.006236284904988281,0.456
-0.006243409782439454,0.46
-0.00614937306825586,0.464
-0.006102860331945313,0.468
-0.006156378833119141,0.472
-0.006235597455195313,0.476
-0.00623306205868164,0.48
-0.0061474424719843756,0.484
-0.006086729570501954,0.488
-0.006145949432158204,0.492
-0.0062340135008632815,0.496
-0.006230089105722657,0.5
-0.006138766700021485,0.504
-0.0060951262786875,0.508
-0.006147890238080079,0.512
-0.006247566082496094,0.516
-0.006223506798263672,0.52
-0.0061293606949687504,0.524
-0.006076344411359375,0.528
-0.006151776225488281,0.532
-0.006230058962945313,0.536
-0.006234342640544922,0.54
-0.0061288978574843755,0.544
-0.0060943182577851565,0.548
-0.006159071263779297,0.552
-0.006245833358972656,0.556
-0.0062317766150800785,0.56
-0.0061551847901972654,0.564
-0.0061004678705371095,0.568
-0.006165059466820313,0.572
-0.006251195370123047,0.576
-0.006225382943066407,0.58
-0.006140610271177734,0.584
-0.006102224902751954,0.588
-0.00618687457266211,0.592
-0.006265985750322266,0.596
-0.00622816434353711,0.6
