EEG,sec
-0.0044898036345625,0.0
-0.004322067829773438,0.004
-0.004425539719439453,0.008
-0.004648353671042969,0.012
-0.004654039960136719,0.016
-0.004475368647431641,0.02
-0.00431748029353125,0.024
-0.004421606086996094,0.028
-0.00465658605247461,0.032
-0.004660403489373047,0.036
-0.0044707582610195315,0.04
-0.004323386333195313,0.044
-0.004444241854259766,0.048
-0.004663075014558594,0.052
-0.004637857664267578,0.056
-0.004471639694169922,0.06
-0.0043278635079785155,0.064
-0.004455919749611328,0.068
-0.00466421168896875,0.072
-0.004652394747902344,0.076
-0.004454597842972656,0.08
-0.00433066532775,0.084
-0.00446483374675,0.088
-0.004679680767832032,0.092
-0.004647247139410156,0.096
-0.0044675874353125,0.1
-0.004342347598666016,0.104
-0.004476428020203125,0.108
-0.0046913489397070315,0.112
-0.004649232187150391,0.116
-0.0044347152780976565,0.12
-0.004331649829751954,0.124
-0.00448189261403125,0.128
-0.004687147425484375,0.132
-0.004640345901919922,0.136
-0.004441319463378906,0.14
-0.0043367531964257815,0.144
-0.0045096477917050785,0.148
-0.0047017020113769535,0.152
-0.004639746935763672,0.156
-0.004421259445056641,0.16
-0.0043377702720742185,0.164
-0.004500643366234375,0.168
-0.004695944740904297,0.172
-0.004632967727904297,0.176
-0.00442477059244336,0.18
-0.004341691263998047,0.184
-0.004514058360673828,0.188
-0.00471902632956836,0.192
-0.004630079369191406,0.196
-0.0044233582574726565,0.2
-0.004352187270773438,0.204
-0.004523295177234375,0.208
-0.004699915808732422,0.212
-0.004613574253900391,0.216
-0.004409882491304687,0.22
-0.004365927029330079,0.224
-0.0045309655417207035,0.228
-0.004714444141238281,0.232
-0.004615688623878907,0.236
-0.004410673982296875,0.24
-0.0043649284282871095,0.244
-0.004538878506947266,0.248
-0.004709801181179688,0.252
-0.004597444464804688,0.256
-0.004396568621021484,0.26
-0.004370006027748047,0.264
-0.0045465133807441405,0.268
-0.004714902603158203,0.272
-0.004598246651621094,0.276
-0.004382295529775391,0.28
-0.004363181605722657,0.284
-0.004558564171421875,0.288
-0.004701255217628907,0.292
-0.004593306639353516,0.296
-0.004358407378730469,0.3
-0.004366368475166016,0.304
-0.0045493288133828125,0.308
-0.004698449022292969,0.312
-0.004571450694910157,0.316
-0.004351705958683594,0.32
-0.004366010651228516,0.324
-0.004548955431882813,0.328
-0.004707870098734375,0.332
-0.004568667835917969,0.336
-0.004367106000863282,0.34
-0.004381944998445313,0.344
-0.004587072918529297,0.348
-0.004709654842857422,0.352
-0.0045552508967832035,0.356
-0.004357182220683594,0.36
-0.004379059556775391,0.364
-0.004584386808128906,0.368
-0.004687780423808594,0.372
-0.0045505894621191405,0.376
-0.004354754754759766,0.38
-0.004392388498447266,0.384
-0.0046021146505976565,0.388
-0.004695213049292969,0.392
-0.004550295326953125,0.396
-0.004344075460451172,0.4
-0.004393753188382813,0.404
-0.004613491118175782,0.408
-0.004699314411707032,0.412
-0.004552647435933594,0.416
-0.0043551373735625,0.42
-0.00440575147228711,0.424
-0.004619115177019531,0.428
-0.004696549541146485,0.432
-0.004523489646765625,0.436
-0.0043325200809042974,0.44
-0.004407419534691407,0.444
-0.00461835334263086,0.448
-0.004699040695841797,0.452
-0.004522632036132812,0.456
-0.004340324629367187,0.46
-0.004414607128566407,0.464
-0.004621807607679687,0.468
-0.004700534221841797,0.472
-0.004501236498304688,0.476
-0.004340020770724609,0.48
-0.004427662354373047,0.484
-0.004644416149208985,0.488
-0.0046900246021992185,0.492
-0.00450642445922461,0.496
-0.004332567239765625,0.5
-0.004429906532763672,0.504
-0.004636677234212891,0.508
-0.004693937815341797,0.512
-0.004494430064710938,0.516
-0.004332026128294922,0.52
-0.00444004277090625,0.524
-0.004656787814613281,0.528
-0.004671236900785156,0.532
-0.004489359757857422,0.536
-0.004336791604158203,0.54
-0.004449441969525391,0.544
-0.004657323091998047,0.548
-0.004690485008814453,0.552
-0.0044962094609218755,0.556
-0.0043546356421718755,0.56
-0.00446427124363086,0.564
-0.004678800793203125,0.568
-0.0046813799453613286,0.572
-0.004477821394394532,0.576
-0.004339475769863281,0.58
-0.004456354389013672,0.584
-0.0046736789519238285,0.588
-0.004667092755074219,0.592
-0.004461394066916016,0.596
-0.004340800593544922,0.6
-0.004468416361689453,0.604
-0.00467828107338086,0.608
-0.004666348909117188,0.612
-0.004454265786248047,0.616
-0.004327218355308594,0.62
-0.0044764533012421875,0.624
-0.004673256466867188,0.628
-0.004639943349990234,0.632
-0.004446400952230469,0.636
-0.004342694726779297,0.64
-0.004494414507148437,0.644
-0.004689245265552734,0.648
-0.004657885108943359,0.652
-0.004439886709107422,0.656
-0.0043465880067949225,0.66
-0.004484975442275391,0.664
-0.004691698012515625,0.668
-0.004644028182494141,0.672
-0.004438505003087891,0.676
-0.0043493397506621095,0.68
-0.004516442070953125,0.684
-0.004701430240207032,0.688
-0.004639366747830078,0.692
-0.004431246427833984,0.696
-0.004359647608166016,0.7
-0.004517071179886719,0.704
-0.004715534142960938,0.708
-0.004637547971539062,0.712
-0.004417002507017579,0.716
-0.004350468646291016,0.72
-0.004521163791171875,0.724
-0.004696632676871094,0.728
-0.004618347022371094,0.732
-0.004390684945353516,0.736
-0.004350574632185547,0.74
-0.0045260965108320315,0.744
-0.004693495397158204,0.748
-0.0046027636926582035,0.752
-0.004400409394263672,0.756
-0.004349035405845704,0.76
-0.0045259754535488285,0.764
-0.0046776816210507815,0.768
-0.0045973958474218755,0.772
-0.004375079251644531,0.776
-0.0043513884871738285,0.78
-0.0045310783340488285,0.784
-0.0046978082451875,0.788
-0.004596998157230469,0.792
-0.004384110416675782,0.796
-0.004368276221267578,0.8
-0.004551360533810547,0.804
-0.004700964485679688,0.808
-0.004585607590611328,0.812
-0.004377866000027344,0.816
-0.004381967362441406,0.82
-0.004558979363871094,0.824
-0.00470001984993164,0.828
-0.004576817567798828,0.832
-0.004372882232115235,0.836
-0.00437362218868164,0.84
-0.0045601082595,0.844
-0.004699646954605469,0.848
-0.004571791016589844,0.852
-0.004377769251435547,0.856
-0.004371993506357422,0.86
-0.004576966336990234,0.864
-0.004696525232455079,0.868
-0.004579032575759766,0.872
-0.0043597779027519535,0.876
-0.004388678505964844,0.88
-0.004584483556720704,0.884
-0.004695320007535157,0.888
-0.004551035283519532,0.892
-0.004352695808597656,0.896
-0.004388280815773438,0.9
-0.004592754345884765,0.904
-0.0046915993192285154,0.908
-0.004552558466123047,0.912
-0.0043541616226894534,0.916
-0.004396682385697266,0.92
-0.004592137391296876,0.924
-0.00469094492925586,0.928
-0.004544160299416016,0.932
-0.004334615003929687,0.936
-0.004400367097140625,0.94
-0.004593171483029297,0.944
-0.004686928161087891,0.948
-0.004532777997751953,0.952
-0.004342260573550781,0.956
-0.00441110327378711,0.96
-0.004615373583238281,0.964
-0.004678233914519532,0.968
-0.004526474754070313,0.972
-0.004344616571921875,0.976
-0.004414664010904297,0.98
-0.004610799659863282,0.984
-0.004692118552876953,0.988
-0.004514908678699219,0.992
-0.004344540728804688,0.996
-0.0044306114848144534,1.0
-0.004637697226904297,1.004
-0.0046808242486757815,1.008
-0.004510183555263672,1.012
-0.004341962062820313,1.016
-0.004434992883353516,1.02
-0.004648816022353516,1.024
-0.004680890854490235,1.028
-0.004519429122953125,1.032
-0.004363860304386719,1.036
-0.004452451385521484,1.04
